report_t_s,t,G_force,GNSS_vz_ms,GNSS_alt
25.755328166177872,500.09,4.34,-13.020974025973771,809.2
25.94513336919653,500.28,4.23,-12.71155952380974,807.49
26.164907814797115,500.5,4.06,-12.58950657894718,804.9
26.36470276534306,500.7,3.88,-12.792200000000037,802.42
26.644415696107433,500.98,3.62,-13.069812499999955,799.8
26.784272161489593,501.12,3.42,-13.324736842105096,796.78
26.99405685956283,501.33,3.1,-2.8481818181840595,794.04
27.143903072472334,501.48,2.96,10.773272727273024,791.12
27.30373903290907,501.64,2.81,13.103000000000009,788.29
27.55348272109152,501.89,2.36,15.928928571428514,785.65
27.71331868152831,502.05,2.09,17.45500000000004,783.08
27.90312388454697,502.24,1.77,19.695857142857278,780.91
28.102918835092918,502.44,1.4,22.08066666666656,826.01
28.30271378563887,502.64,1.05,24.295000000000016,829.37
28.552457473821317,502.89,0.74,25.87058823529412,832.5
28.712293434258108,503.05,0.55,27.404999999999973,833.2
28.912088384804058,503.25,0.45,27.219642857143867,834.68
29.101893587822715,503.44,0.39,5.699999999999989,836.06
29.301688538368666,503.64,0.42,3.802380952380986,836.88
29.541442479023825,503.88,0.46,1.990643478260779,837.36
29.71126818698791,504.05,0.52,1.3999999999999773,837.89
29.921052885061144,504.26,0.68,0.4602631578948717,837.59
30.1108580880798,504.45,0.91,-0.46924999999993133,837.4
30.320642786153098,504.66,1.15,-1.1690909090909827,836.93
30.55040697928091,504.89,1.32,-1.7650619195045465,836.33
30.710242939717705,505.05,1.19,-2.384999999999991,836.0
30.910037890263652,505.25,0.89,-2.8121428571428737,835.7
31.099843093282313,505.44,0.65,-3.23275000000001,835.19
31.29963804382826,505.64,0.62,-3.659880952381002,834.64
31.51941248942884,505.86,0.55,-3.956956521739187,834.0
31.709217692447503,506.05,0.61,-4.338611111111163,833.12
31.90901264299345,506.25,0.81,-4.7140000000000555,831.98
32.108807593539396,506.45,1.05,-4.93625000000003,830.89
32.308602544085346,506.65,1.31,-5.060454545454434,829.59
32.53836673721322,506.88,1.44,-5.098684210526358,828.39
32.71818219270459,507.06,1.45,-4.946500000000071,827.26
32.91797714325054,507.26,1.37,-4.567750000000046,826.22
33.1077823462692,507.45,1.35,-4.1924999999999955,825.29
33.31756704434249,507.66,1.34,-3.578913043478167,824.45
33.527351742415725,507.87,1.38,-3.031086956521733,823.74
33.71715694543439,508.06,1.42,-2.4150000000000205,823.17
33.91695189598033,508.26,1.42,-1.851500000000044,822.79
34.11674684652628,508.46,1.36,-1.2959999999999923,822.49
34.31654179707229,508.66,1.3,-0.8156250000000114,822.38
