report_t_s,t,IAS_kmh,pitch,roll,Glide_ratio_GNSS
0.026917000000025837,417.82,26.08824066548774,6,-7,14.671960776347852
0.256917000000044,418.05,25.964187462969928,4,-6,13.646660197501197
0.43691700000005085,418.23,25.839538699521736,4,-6,12.687114800976099
0.6269170000000486,418.42,25.63884021462399,4,-6,11.808342935608994
0.8169170000000463,418.61,25.48727924006845,-1,-5,11.125332418259916
1.0369170000000167,418.83,25.258232644556323,2,-4,10.603798698711067
1.2969170000000076,419.09,25.411159769210187,2,-3,10.21867144056114
1.4369170000000508,419.23,25.563172050943177,1,-2,9.959427441640104
1.6369170000000395,419.43,25.48727924006845,2,0,9.833177969753699
1.836917000000028,419.63,25.411159769210187,1,1,9.770526821924118
2.0469170000000076,419.84,24.793792425870286,0,2,9.711977536236759
2.2869170000000167,420.08,24.5582787695402,2,2,9.646630592102278
2.436917000000051,420.23,24.320484563177498,1,2,9.51935353363914
2.6569170000000213,420.45,24.053511772118192,1,1,9.327291320206879
2.826917000000037,420.62,23.565340122774398,3,0,9.01374160805144
3.0369170000000167,420.83,22.70000393329104,1,-1,8.595234573737946
3.276917000000026,421.07,22.006709899761134,4,-1,8.058299056631833
3.436917000000051,421.23,21.651739690672734,4,-1,7.4301548286753265
3.6469170000000304,421.44,21.138663918159487,1,-1,6.7825378033408015
3.8169170000000463,421.61,20.79993070533983,1,0,6.120663789568074
4.036917000000017,421.83,20.706587239379665,0,0,5.526379686871727
4.266917000000035,422.06,20.32892781536815,0,0,4.986729534510533
4.416917000000012,422.21,20.265300342190432,-2,0,4.511444903706354
4.6369170000000395,422.43,20.706587239379665,-2,1,4.115580817627287
4.826917000000037,422.62,20.830952244882408,-2,0,3.7859601303081782
5.016917000000035,422.81,20.892857142857142,-5,0,3.514652762055766
5.256917000000044,423.05,20.892857142857142,-7,0,3.304476866175027
5.436917000000051,423.23,21.290852088468917,-4,0,3.1390628037277106
5.626917000000049,423.42,21.8299463151527,-4,-1,2.992803017208963
5.836917000000028,423.63,22.38490973118876,-5,-2,2.8743898779662214
6.026917000000026,423.82,23.261970256280566,-7,-2,2.768747017318473
6.246917000000053,424.04,23.972840180640475,-7,-3,2.678146992916014
6.436917000000051,424.23,24.5582787695402,-7,-4,2.597103653514852
6.6369170000000395,424.43,24.76773483335749,-7,-4,2.5149514566750257
6.826917000000037,424.62,25.10437395827139,-5,-5,2.4305369538213406
7.026917000000026,424.82,25.027089914567306,-6,-6,2.3414340787006744
7.276917000000026,425.07,23.6746926364118,-3,-6,2.24149562855767
7.42691700000006,425.22,22.094561386394226,-3,-6,2.132487285063975
7.626917000000049,425.42,20.892857142857142,-2,-6,2.0217709475378203
7.836917000000028,425.63,17.568651784078483,0,-6,1.9010794586633093
8.026917000000026,425.82,13.155031240509294,1,-5,1.7723883966196203
8.256917000000044,426.05,11.307252278145766,1,-4,1.6373959818182617
8.42691700000006,426.22,9.575658713421149,-1,-4,1.500911433058979
8.616917000000058,426.41,6.626419755456953,6,-1,1.368653591858734
8.826917000000037,426.62,7.096950696156305,6,-1,1.2391034965312115
9.036917000000017,426.83,6.91258280387354,4,-1,1.1163307692215823
9.266917000000035,427.06,5.0822319538420375,5,2,0.9989745977157406
9.43691700000005,427.23,6.327327755902347,-1,1,0.8889894162445847
9.626917000000049,427.42,6.626419755456953,2,4,0.7920874600968036
9.826917000000037,427.62,5.682108063106185,-2,6,0.7094820815811212
10.016917000000035,427.81,5.905019915638019,1,7,0.6395105590950425
10.276917000000026,428.07,5.207738061220602,0,5,0.588873033237723
10.43691700000005,428.23,4.401341979952227,-7,4,0.5477922379029292
10.626917000000049,428.42,4.097426394851344,0,5,0.5195106997478772
10.836917000000028,428.63,3.4092648378637107,-8,5,0.5050292860296154
11.016917000000035,428.81,5.0822319538420375,-13,3,0.5034845121301543
11.256917000000044,429.05,6.528245146582468,-8,8,0.518151472069367
11.43691700000005,429.23,5.905019915638019,-7,7,0.5473047061332439
11.626917000000049,429.42,5.330289841642607,-7,7,0.5871152390231148
11.826917000000037,429.62,6.224437520690491,-12,7,0.6427923948784351
12.036917000000017,429.83,9.841699859396696,-15,8,0.7133677976159535
12.276917000000026,430.07,16.507477433711358,-23,8,0.785367448693532
12.42691700000006,430.22,24.133913706987652,-18,9,0.8709416636943069
12.626917000000049,430.42,26.456910481855164,-24,7,0.9661604677364011
12.816917000000046,430.61,28.659462589489834,-24,2,1.0729853244327543
13.036917000000017,430.83,32.56199934003451,-21,-5,1.206237786501134
13.276917000000026,431.07,35.320597996879144,-21,-10,1.3595992460794504
13.42691700000006,431.22,34.897581563477885,-17,-12,1.5440090650722467
13.626917000000049,431.42,34.30035959530668,-1,-14,1.7772554726641916
13.826917000000037,431.62,36.205329619506884,-3,-14,2.0742634298195566
14.026917000000026,431.82,37.82765023694942,-3,-9,2.474815386823613
14.266917000000035,432.06,38.03194146278325,5,-6,3.048234790689861
14.43691700000005,432.23,38.88820810466633,14,-5,3.9272072565902345
14.63691700000004,432.43,39.28469966222244,23,-4,5.3918623144258415
14.836917000000028,432.63,39.33398009095848,27,-3,8.3968704088943
15.026917000000026,432.82,38.77180097726191,28,-2,17.66566953858117
15.286917000000017,433.08,37.69084092715256,31,0,
15.43691700000005,433.23,36.38324385858783,33,2,
15.63691700000004,433.43,35.137303568156966,34,3,
15.836917000000028,433.63,33.692553149844585,32,4,
16.026917000000026,433.82,31.900874852055868,30,5,
16.286917000000017,434.08,29.371607489727428,28,5,
16.44691700000004,434.24,27.556759606310752,28,5,
16.616917000000058,434.41,25.76445997802367,25,6,
16.836917000000028,434.63,23.31742199230753,21,6,
17.026917000000026,434.82,21.381645046580466,19,6,
17.266917000000035,435.06,19.814187866685995,15,6,
17.43691700000005,435.23,18.811124856513683,11,6,
17.63691700000004,435.43,18.1471978778082,7,6,
17.826917000000037,435.62,17.89638545195364,4,5,
18.026917000000026,435.82,18.35945302306478,-1,4,
