report_t_s,t,IAS_kmh,pitch,roll,GNSS_velD
0.2132120000001123,659.72,5.682108063106185,-6,3,-3.95
0.3732120000000805,659.88,5.207738061220602,-10,-5,-4.62
0.5532120000000305,660.06,6.327327755902347,-7,-14,-4.93
0.743212000000085,660.25,8.42792824422443,-11,-22,-5.17
0.9532120000001214,660.46,2.783653083592838,0,-25,-5.22
1.1832120000001396,660.69,3.006688971514774,-1,-21,-5.18
1.3532120000000987,660.86,4.252100321353806,0,-18,-5.25
1.563212000000135,661.07,4.097426394851344,8,-20,-5.3
1.753212000000076,661.26,6.7231609275059645,9,-26,-5.37
1.9532120000001214,661.46,6.013377943029548,21,-26,-5.8
2.1932120000001305,661.7,6.428571428571428,37,-25,-6.07
2.3632120000000896,661.87,14.19390139231261,42,-24,-6.73
2.5532120000000305,662.06,16.111557044809892,51,-8,-7.38
2.7732120000000577,662.28,11.420895859997056,56,-11,-7.75
2.9632120000001123,662.47,8.194852789702688,66,-19,-7.92
3.1932120000001305,662.7,2.272843225242474,67,-26,-7.75
3.3632120000000896,662.87,6.7231609275059645,29,-35,-7.37
3.5532120000000305,663.06,6.626419755456953,66,-50,-7.23
3.763212000000067,663.27,6.818529675727421,61,-65,-7.17
3.973212000000103,663.48,6.119817674354926,54,-72,-7.31
4.203212000000121,663.71,6.528245146582468,47,-73,-7.63
4.353212000000099,663.86,10.036603925997424,43,-69,-7.93
4.563212000000135,664.07,6.626419755456953,36,-39,-8.43
4.753212000000076,664.26,5.450086593582804,16,-8,-8.83
4.9432120000001305,664.45,3.214285714285714,1,3,-8.92
5.203212000000121,664.71,5.450086593582804,-17,9,-8.77
5.36321200000009,664.87,6.119817674354926,-42,6,-8.2
5.563212000000135,665.07,5.0822319538420375,-31,-15,-7.4
5.753212000000076,665.26,4.252100321353806,-16,-43,-6.85
5.963212000000112,665.47,4.953546966671499,-20,-61,-6.61
6.213212000000112,665.72,8.035714285714285,-26,-40,-6.58
6.36321200000009,665.87,8.729020037571601,-15,-26,-6.88
6.5532120000000305,666.06,9.091372900969896,-13,-11,-7.36
6.763212000000067,666.27,8.65472915432331,-3,-21,-7.94
6.953212000000121,666.46,2.5411159769210188,8,-26,-8.56
7.203212000000121,666.71,4.097426394851344,-15,-36,-8.82
7.36321200000009,666.87,3.4092648378637107,-7,-42,-8.7
7.5532120000000305,667.06,3.214285714285714,-55,-47,-8.24
7.753212000000076,667.26,4.685586344072116,-39,-45,-7.42
7.9432120000001305,667.45,5.0822319538420375,-5,-84,-6.53
8.18321200000014,667.69,9.907093933342997,-16,-108,-6.18
8.353212000000099,667.86,17.49498834943707,-20,-133,-6.13
8.533212000000049,668.04,25.739385071861193,-40,-133,-6.26
8.753212000000076,668.26,19.35256271591619,-5,-149,-6.68
8.94321200000013,668.45,15.415172753505168,-21,107,-7.22
9.203212000000121,668.71,29.08440172101513,4,82,-8.32
9.353212000000099,668.86,28.02149320847576,7,59,-9.46
9.54321200000004,669.05,24.053511772118192,-16,15,-10.33
9.753212000000076,669.26,50.40129143753589,-3,-23,-10.58
9.953212000000121,669.46,57.68948923649217,13,-30,-10.46
10.18321200000014,669.69,64.07442957615935,28,-31,-10.23
10.36321200000009,669.87,63.69032320853901,34,-28,-9.49
10.563212000000135,670.07,60.92322242472278,38,-28,-8.39
10.753212000000076,670.26,58.89690707724223,42,-30,-6.96
10.94321200000013,670.45,57.65590001138173,49,-33,-5.12
11.203212000000121,670.71,55.67306167185677,59,-38,-3.18
11.353212000000099,670.86,54.749108882879426,91,-40,-1.75
11.55321200000003,671.06,52.87719817402104,202,-45,-0.35
11.743212000000085,671.25,50.0928665641351,201,-49,1.05
11.94321200000013,671.45,46.883417611547635,63,-54,2.29
12.18321200000014,671.69,43.10919186750533,58,-60,3.5
12.36321200000009,671.87,39.28469966222244,55,-65,4.24
12.563212000000135,672.07,35.247394606277105,52,-70,4.56
12.743212000000085,672.25,31.30836386589346,48,-73,4.55
12.94321200000013,672.45,28.182339509062793,45,-74,4.33
13.19321200000013,672.7,24.293919307228354,44,-76,3.85
13.353212000000099,672.86,22.006709899761134,40,-75,3.23
13.54321200000004,673.05,19.48557158514987,34,-71,2.52
13.743212000000085,673.25,17.64200764293762,26,-68,1.65
13.93321200000014,673.44,16.151585819658575,17,-63,0.86
14.19321200000013,673.7,15.581828113123914,6,-55,0.15
14.36321200000009,673.87,16.03119965083393,-3,-49,-0.52
14.55321200000003,674.06,17.715059746914058,-14,-40,-1.06
14.753212000000076,674.26,19.151317426842297,-23,-31,-1.51
14.953212000000121,674.46,20.644123787140387,-30,-22,-1.84
15.18321200000014,674.69,23.729179918232248,-43,-11,-2.21
15.36321200000009,674.87,25.989045474851082,-43,-7,-2.73
15.55321200000003,675.06,28.34227299945278,-43,-3,-3.07
15.743212000000085,675.25,30.872206144765517,-44,-2,-3.47
15.93321200000014,675.44,32.975814421097986,-38,-2,-3.91
16.20321200000012,675.71,35.48475348078153,-34,-4,-4.17
16.3532120000001,675.86,37.13856431236503,-32,-5,-4.54
16.55321200000003,676.06,37.91290536027466,-22,-6,-4.62
16.743212000000085,676.25,38.53793188376292,-13,-7,-4.53
16.963212000000112,676.47,38.63833482912206,-8,-8,-4.25
17.173212000000035,676.68,38.78845195547304,0,-9,-3.7
17.3532120000001,676.86,37.53633443826427,2,-10,-3.12
