report_t_s,t,IAS_kmh,Glide_ratio_GNSS,pitch,roll,vario
0.025593000000014854,443.84,19.083764068453792,6.919877864072118,2,-3,-0.7
0.21559300000001258,444.03,18.464665649586518,6.866026481250793,-1,-3,-0.79
0.47559300000006033,444.29,17.49498834943707,6.794462617208385,-2,-4,-1.02
0.6255930000000376,444.44,17.346723062884475,6.704983198857439,-3,-3,-1.2
0.8255930000000262,444.64,17.23468708087008,6.595424370004887,-3,-2,-1.47
1.015593000000024,444.83,17.568651784078483,6.471518836035172,-7,-2,-1.68
1.2155930000000126,445.03,18.218224364069947,6.346631132584612,-8,-1,-1.87
1.4455930000000308,445.26,19.35256271591619,6.224266069206378,-11,0,-2.1
1.6255930000000376,445.44,20.455589027182267,6.107762803578598,-11,0,-2.24
1.8155930000000353,445.63,21.5920106398035,5.999051570984782,-12,0,-2.3
2.015593000000024,445.83,22.841791719994113,5.897199704613499,-12,1,-2.33
2.2055930000000217,446.02,24.267324970513126,5.8038216320111715,-12,1,-2.35
2.4455930000000308,446.26,25.537899506899343,5.721633995014898,-9,2,-2.32
2.6255930000000376,446.44,26.162390243731668,5.651517641604069,-10,2,-2.22
2.8155930000000353,446.63,26.627209595005,5.589734387785599,-8,2,-2.06
3.005593000000033,446.82,27.415803389837112,5.538500176255007,-6,3,-1.84
3.2155930000000126,447.03,28.044527732060054,5.494397305319887,-4,3,-1.55
3.43559300000004,447.25,28.136477250018636,5.4565491148706915,-1,2,-1.25
3.6155930000000467,447.43,27.859718287542403,5.42352976620364,2,2,-0.99
3.8155930000000353,447.63,27.79009789144915,5.395874691431516,3,2,-0.77
4.025593000000015,447.84,27.179251915641046,5.373029326617675,17,2,-0.57
4.205593000000022,448.02,26.96458136072547,5.352889407962411,17,0,-0.59
4.47559300000006,448.29,26.432492469747633,5.334454196811682,15,0,-0.63
4.625593000000038,448.44,25.88947022183627,5.315778525308649,12,1,-0.65
4.815593000000035,448.63,24.871801404442756,5.2961178206423245,13,-1,-0.72
5.015593000000024,448.83,23.972840180640475,5.2731052343604485,13,-1,-0.81
5.205593000000022,449.02,23.094816208714146,5.24864301170089,13,0,-0.92
5.465593000000013,449.28,21.800346374331216,5.220363295136076,15,-1,-1.05
5.615593000000047,449.43,21.260501606769033,5.186934586211924,13,0,-1.15
5.815593000000035,449.63,20.581470763177013,5.148134662430508,10,-1,-1.29
6.025593000000015,449.84,20.297139011220676,5.103942928338729,8,-1,-1.44
6.215593000000013,450.03,19.78157189746795,5.054404835281352,8,-1,-1.57
6.455593000000022,450.27,19.617678668143448,4.999511512672312,6,-2,-1.7
6.625593000000038,450.44,19.879259266370862,4.940278142634402,4,-2,-1.79
6.815593000000035,450.63,19.879259266370862,4.876759073878283,2,-2,-1.9
7.015593000000024,450.83,20.073207851994848,4.812673063162699,-1,-2,-1.99
7.205593000000022,451.02,20.360666988192744,4.747145731385226,-3,-2,-2.04
7.465593000000013,451.28,21.138663918159487,4.683021474353651,-5,-1,-2.09
7.615593000000047,451.43,21.88902611551538,4.619974643436648,-7,-1,-2.09
7.825593000000026,451.64,22.413737701577173,4.560657804802985,-8,0,-2.06
8.025593000000015,451.84,23.06683943744034,4.504128555225035,-7,0,-1.98
8.215593000000013,452.03,23.06683943744034,4.449365157743707,-8,1,-1.92
8.47559300000006,452.29,23.6746926364118,4.396889038740585,-7,2,-1.81
8.605593000000056,452.42,23.729179918232248,4.34593330369113,-5,3,-1.76
8.825593000000026,452.64,23.945889255671794,4.297665793289786,-5,5,-1.65
9.025593000000015,452.84,24.133913706987652,4.250692851191256,-3,6,-1.54
9.22559300000006,453.04,24.240701457318785,4.204625732205845,-2,7,-1.41
9.465593000000013,453.28,24.160654893813604,4.157614308106446,-1,9,-1.25
9.615593000000047,453.43,23.972840180640475,4.1092528523297425,1,10,-1.19
9.835593000000017,453.65,23.51047313302681,4.05882729991238,2,12,-1.12
10.015593000000024,453.83,23.261970256280566,4.003838076357115,2,13,-1.09
10.235593000000051,454.05,23.094816208714146,3.946137831409383,3,14,-1.12
10.465593000000013,454.28,22.87004379228917,3.8856650739132395,3,16,-1.22
10.625593000000038,454.44,22.81350466057241,3.821329124749192,4,17,-1.29
10.855593000000056,454.67,22.87004379228917,3.7550121754503256,1,17,-1.41
11.025593000000015,454.84,22.785182483717936,3.687028088903904,1,17,-1.49
11.22559300000006,455.04,22.72843225242474,3.61713053110063,0,17,-1.58
11.465593000000013,455.28,22.81350466057241,3.546463487046334,-1,16,-1.66
11.615593000000047,455.43,22.926443492711417,3.4743514733176006,-1,15,-1.7
11.815593000000035,455.63,23.37274216968587,3.4011888760449,-1,14,-1.74
12.015593000000024,455.83,23.31742199230753,3.327132111056872,-2,12,-1.8
12.22559300000006,456.04,23.42793172036058,3.2516810452802347,-3,11,-1.85
12.465593000000013,456.28,23.565340122774398,3.1752693025362677,-2,9,-1.85
12.615593000000047,456.43,23.59272576841585,3.0995734615708583,-2,8,-1.82
12.815593000000035,456.63,23.620079662552076,3.025258749886434,-3,7,-1.77
13.015593000000024,456.83,23.729179918232248,2.9539497578316154,-2,6,-1.72
13.22559300000006,457.04,23.620079662552076,2.885012117976324,-1,5,-1.65
13.465593000000013,457.28,23.537922614802017,2.8190781830508245,-1,4,-1.56
13.615593000000047,457.43,23.37274216968587,2.7565046753990674,-1,4,-1.52
13.815593000000035,457.63,23.122759130257755,2.6993926013142953,-1,3,-1.48
14.005593000000033,457.82,23.06683943744034,2.645273019432807,1,3,-1.45
14.22559300000006,458.04,22.841791719994113,2.5956306303266463,0,3,-1.42
14.47559300000006,458.29,22.87004379228917,2.5477617194183813,0,4,-1.39
14.625593000000038,458.44,22.47128269410465,2.5039300272108203,0,4,-1.38
14.815593000000035,458.63,22.006709899761134,2.4626944369316575,1,5,-1.38
15.015593000000024,458.83,22.006709899761134,2.424560311522042,0,6,-1.38
15.22559300000006,459.04,22.298202201715082,2.3886452827681826,0,7,-1.41
15.465593000000013,459.28,21.9773480322493,2.3537784386574168,1,8,-1.45
15.615593000000047,459.43,21.91850629872727,2.319709685099484,0,9,-1.47
15.815593000000035,459.63,21.9773480322493,2.2869048678925594,0,9,-1.51
16.015593000000024,459.83,22.211156187458442,2.254265935928274,-1,9,-1.54
16.22559300000006,460.04,22.442528641771514,2.2225188927451898,-1,9,-1.57
16.465593000000013,460.28,22.70000393329104,2.191271626179969,-1,8,-1.6
16.63559300000003,460.45,23.15066832464132,2.1602249311358146,-1,8,-1.61
16.835593000000017,460.65,23.482991565325374,2.129651874004562,-1,7,-1.62
17.025593000000015,460.84,23.6746926364118,2.10102501117237,-2,7,-1.61
17.22559300000006,461.04,23.783542371881904,2.073385278168594,-2,6,-1.59
17.44559300000003,461.26,23.42793172036058,2.0467004474789525,-1,5,-1.55
17.63559300000003,461.45,23.647401915367755,2.022643561397733,-2,4,-1.5
17.825593000000026,461.64,23.83778085137892,1.999573588474406,0,3,-1.46
18.025593000000015,461.84,23.864853865045976,1.978483296291425,0,3,-1.41
18.215593000000013,462.03,24.026651337416872,1.9594800049065793,0,2,-1.37
18.45559300000002,462.27,23.729179918232248,1.942380192234908,0,2,-1.32
18.63559300000003,462.45,23.400353215544524,1.9282322602405295,0,2,-1.28
18.825593000000026,462.64,23.261970256280566,1.9163611910002971,0,2,-1.25
19.025593000000015,462.84,23.122759130257755,1.9078792662148805,1,2,-1.24
19.215593000000013,463.03,22.671539967320168,1.902006803870408,2,3,-1.23
19.44559300000003,463.26,22.785182483717936,1.8985484718963757,2,3,-1.23
19.625593000000038,463.44,22.785182483717936,1.8973480672671974,2,3,-1.24
19.835593000000017,463.65,22.72843225242474,1.8976187031217957,1,4,-1.27
