report_t_s,t,IAS_kmh,pitch,roll
0.0890618713612506,760.77,32.18301063401911,-2,6
0.288948633322111,760.97,32.203068604575876,-2,7
0.4788410571848261,761.16,32.0220945725967,-2,7
0.6787278191456865,761.36,31.81980515339464,-3,8
0.9185919334986735,761.6,32.700519561496826,-3,8
1.0785013430672936,761.76,34.18721901350782,-2,7
1.278388105028154,761.96,35.5574682158104,1,5
1.4782748669889008,762.16,35.90085198807109,2,2
1.6781616289497612,762.36,35.59376987734837,0,2
1.9080314052047167,762.59,34.5629140193677,1,4
2.097923829067432,762.78,32.60163660284056,4,4
2.297810591028292,762.98,26.60294789557529,5,2
2.467714338694944,763.15,18.218224364069947,6,4
2.6875897768518677,763.37,10.100736233016859,6,10
2.917459553106823,763.6,5.905019915638019,4,19
3.087363300773475,763.77,4.545686450484948,-2,21
3.2772557246363037,763.96,3.214285714285714,-8,21
3.4671481484990188,764.15,1.136421612621237,-12,20
3.677029248557911,764.36,3.214285714285714,-18,17
3.906899024812866,764.59,3.214285714285714,-28,15
4.0768027724795175,764.76,2.272843225242474,-33,16
4.276689534440378,764.96,13.155031240509294,-37,19
4.486570634499157,765.17,29.67779782385259,-37,29
4.666468720263953,765.35,33.883663889423595,-33,41
4.916327172714973,765.6,37.17332198427979,-25,52
5.076236582283593,765.76,38.83836205798256,-21,55
5.266129006146421,765.95,42.047599666985775,-18,55
5.466015768107169,766.15,45.229009112583064,-17,55
5.665902530068029,766.35,47.322102421078256,-14,51
5.895772306322984,766.58,50.38847809261354,-12,48
6.075670392087668,766.76,52.460353105551846,-10,46
6.28555149214656,766.97,55.207170119949645,-7,42
6.495432592205338,767.18,56.146588616453855,-3,40
6.695319354166198,767.38,56.204062875146924,3,37
6.915194792323122,767.6,56.490557049070475,9,34
7.095092878087805,767.78,56.513413840234,14,31
7.294979640048666,767.98,55.89299977161172,17,27
7.4948664020094125,768.18,54.87869275381245,20,23
7.694753163970273,768.38,53.375534695978764,23,18
7.9146286021271965,768.6,51.17683926886283,25,13
8.074538011695816,768.76,48.98491281684054,26,10
8.274424773656678,768.96,45.74008758457834,27,5
8.474311535617424,769.16,42.10898305684468,27,-1
8.674198297578284,769.36,38.70512543183238,27,-6
8.91406241193127,769.6,34.84202687466235,25,-12
9.073971821499892,769.76,32.9170164882815,23,-15
9.273858583460752,769.96,30.216850195119374,21,-17
9.473745345421499,770.16,26.868621692090066,19,-19
9.673632107382359,770.36,23.565340122774398,18,-21
9.913496221735347,770.6,20.644123787140387,14,-20
10.073405631303967,770.76,18.879653771470817,12,-18
10.273292393264827,770.96,17.568651784078483,9,-15
10.493167831421637,771.18,16.663211801781205,6,-11
10.673065917186435,771.36,16.07142857142857,2,-7
10.932918707735483,771.62,16.507477433711358,-4,0
11.07283944110804,771.76,16.970393637275528,-7,4
11.292714879264965,771.98,18.18274580193979,-12,11
11.48260730312768,772.17,19.748902061964387,-16,17
11.682494065088541,772.37,21.381645046580466,-21,22
11.922358179441527,772.61,23.701951934602434,-25,26
12.082267589010147,772.77,25.46193136782031,-27,28
12.262165674774945,772.95,27.202999628267285,-28,27
12.482041112931755,773.17,30.045405689742722,-29,26
12.681927874892615,773.37,32.62143717351071,-27,25
12.90180331304954,773.59,34.58159162895537,-24,25
