report_t_s,t,IAS_kmh,Glide_ratio_GNSS,pitch,roll,G_force,vario
0.08658836012262985,317.53,31.616221456456078,12.426996288577072,-1,0,0.94,-0.78
0.326349225313909,317.77,31.30836386589346,10.86757370219753,-2,0,0.92,-0.92
0.4961798381577412,317.94,30.809393859665597,9.665566185892896,-2,0,0.91,-1.06
0.7059705952000821,318.15,31.0390841504378,8.763855298191947,-3,0,0.92,-1.21
0.8957812801431686,318.34,31.37017708276575,8.069121644888972,-3,-1,0.93,-1.31
1.1055720371855662,318.55,31.20506974116578,7.574573519442001,-4,-1,0.94,-1.43
1.3253528302775341,318.77,31.30836386589346,7.2091122488399995,-4,-1,0.95,-1.5
1.4951834431213664,318.94,31.718176643556244,6.983435898970944,-5,-2,0.97,-1.55
1.6949841641140801,319.14,32.08253267840967,6.874063377091581,-4,-2,0.99,-1.55
1.9047749211564777,319.35,32.83845547773624,6.884406139111189,-4,-2,0.98,-1.56
2.1045756421491917,319.55,32.73998912270898,7.010723560886518,-4,-2,1.01,-1.55
2.334346471290787,319.78,32.975814421097986,7.2490744866442,-3,-2,1.04,-1.48
2.5041770841346187,319.95,33.20996515677614,7.643561235094048,-3,-2,1.05,-1.4
2.6939877690777054,320.14,33.481071411428026,8.217611759121953,-3,-2,1.08,-1.28
2.903778526120103,320.35,33.57736459678315,9.045911019433396,-2,-2,1.1,-1.09
3.0935892110631897,320.54,33.22940324164607,10.174884189465763,-2,-1,1.1,-0.92
3.333350076254412,320.78,33.28764939194139,11.792690638507892,0,-1,1.1,-0.68
3.503180689098244,320.95,33.19051568795901,14.11056447837901,1,-1,1.09,-0.53
3.6929913740413305,321.14,32.9953904480054,17.578119233085527,2,0,1.11,-0.34
3.9027821310837285,321.35,32.581823999003504,23.0958332259644,3,0,1.09,-0.16
4.092592816026815,321.54,32.56199934003451,32.71130853229604,4,0,1.08,-0.0
4.332353681218037,321.78,31.840091929541167,,5,0,1.08,0.19
4.50218429406187,321.95,31.20506974116578,,6,0,1.07,0.3
4.6919949790049555,322.14,30.851282925727176,,6,-1,1.05,0.39
4.901785736047353,322.35,29.67779782385259,,7,-1,1.03,0.44
5.121566529139321,322.57,28.839147500774505,,7,-1,0.99,0.44
5.331357286181662,322.78,27.92916513800802,,7,-1,0.97,0.37
5.501187899025495,322.95,27.439346376906226,,7,-1,0.95,0.27
5.6909985839685815,323.14,26.038690306103014,,6,-1,0.95,0.15
5.900789341010979,323.35,24.68939704672053,,6,0,0.95,0.03
6.100590062003692,323.55,24.21404867140612,,6,0,0.96,-0.05
6.330360891145288,323.78,23.482991565325374,,4,-1,0.95,-0.17
