report_t_s,t,IAS_kmh,pitch,roll,GNSS_alt,GNSS_vz_ms
0.037907033618473765,497.4,30.620183919521224,-3,0,840.19,-1.8790476190476153
0.23790366283677686,497.6,30.302208699050578,-3,0,839.92,-1.9685119047619375
0.4479001235159269,497.81,30.662331474116108,-3,0,839.65,-2.0667346938775575
0.6778962471169413,498.04,30.49339172305223,-3,0,839.37,-2.166280406899627
0.85789321341338,498.22,31.20506974116578,-3,0,839.06,-2.2462152133580764
1.0478900111707223,498.41,32.001923172439085,-2,-1,838.76,-2.331416149068332
1.2378868089280648,498.6,33.22940324164607,-3,-1,838.46,-2.4366106442577284
1.4278836066854073,498.79,34.24383603106475,-2,-3,838.17,-2.5714436090225945
1.6678795617472688,499.03,34.730650904422994,-2,-5,837.88,-2.747999999999966
1.8378766965828037,499.2,34.45063571286324,-2,-6,837.58,-2.8854452690166648
2.0478731572620106,499.41,33.20996515677614,-1,-6,837.28,-3.0583333333333615
2.2578696179411604,499.62,31.575347203481513,1,-1,836.94,-3.260420168067234
2.447866415698503,499.81,31.63663877951174,1,1,836.4,-3.4830075187970158
2.687862370760421,500.05,33.05404896621932,3,-2,835.71,-3.703773069036239
2.8378598426740917,500.2,31.697811841043602,4,-6,834.92,-3.835129251700664
3.027856640431434,500.39,23.206386018525507,6,-5,834.06,-3.9836024844720277
3.237853101110641,500.6,14.464285714285714,4,0,833.15,-4.126423319327744
3.4278498988679833,500.79,10.227794513591133,2,7,832.27,-4.260556390977464
3.667845853929845,501.03,8.194852789702688,-3,11,831.39,-4.376432330827031
3.8278431573044758,501.19,6.818529675727421,-7,13,830.53,-4.42976808905379
4.037839617983626,501.4,5.682108063106185,-16,13,829.66,-4.471490683229815
4.227836415740969,501.59,6.428571428571428,-23,12,828.81,-4.488467643467662
4.437832876420175,501.8,5.794635978424268,-28,12,827.91,-4.466954887218045
4.667829000021133,502.03,6.7231609275059645,-33,15,826.94,-4.40517722878628
4.837826134856668,502.2,21.260501606769033,-34,22,825.84,-4.343052631578969
5.0278229326140105,502.39,33.44247650360059,-31,32,824.59,-4.268782051282058
5.237819393293217,502.6,38.09979511434546,-26,40,823.21,-4.1834957983193295
5.447815853972367,502.81,39.87204502517768,-21,45,821.68,-4.080784103114946
5.687811809034286,503.05,41.75479625389257,-15,45,820.06,-3.977619047619068
5.837809280947956,503.2,42.536186575283715,-12,43,818.41,-3.8996240601504075
6.027806078705298,503.39,43.83701259745454,-10,40,816.75,-3.7935164835165063
6.247802370845409,503.61,46.27343587142562,-9,35,815.11,-3.6599047619047433
6.447799000063656,503.81,47.93221058145023,-8,31,813.59,-3.5040601503759166
6.6877949551255735,504.05,49.74360280888551,-6,26,812.18,-3.3537343358396066
6.847792258500148,504.21,50.20874791654278,-2,23,810.95,-3.2601466165413706
7.0477888877184505,504.41,50.73330252106478,2,20,809.91,-3.16255952380951
7.237785685475793,504.6,51.063154924234034,6,18,809.07,-3.071207983193241
7.457781977615847,504.82,49.470248480211595,9,15,808.4,-2.974640171858206
7.707777764138669,505.07,47.48556440151694,12,11,807.9,-2.8896240601503678
7.837775573130532,505.2,46.75929597635193,13,9,807.67,-2.853224489795918
8.037772202348778,505.4,44.697644952343005,15,6,807.66,-2.7908944099378914
8.247768663027985,505.61,43.57106264483343,15,3,807.78,-2.713371848739468
8.447765292246231,505.81,42.277327836318975,16,1,808.06,-2.6245076978159596
8.707760910229958,506.07,39.790987724378404,16,-1,808.41,-2.5116970998925905
8.857758382143684,506.22,37.99796919922571,15,-3,808.72,-2.4409667024704538
9.047755179901026,506.41,36.026536775560544,14,-5,809.01,-2.336599999999976
9.257751640580176,506.62,33.75,13,-7,809.31,-2.1907142857142907
9.44774843833752,506.81,32.04225327435571,12,-8,809.56,-2.018216970998911
9.707744056321244,507.07,29.017719779894662,11,-10,809.74,-1.8180259740259836
9.857741528234973,507.22,27.743587234765823,9,-10,809.87,-1.6956090225563847
10.047738325992315,507.41,25.91439990524534,7,-10,809.92,-1.5446978021977884
10.237735123749657,507.6,24.663229156965222,5,-10,809.88,-1.3917559523809229
10.437731752967904,507.8,24.400006795750137,2,-9,809.77,-1.2145714285714218
10.677727708029822,508.04,24.347020833551433,-2,-8,809.6,-1.043132832080216
10.8477248428653,508.21,24.68939704672053,-4,-6,809.36,-0.9460084033613612
11.037721640622642,508.4,24.819822661307946,-7,-5,809.03,-0.8614285714285675
11.227718438379984,508.59,24.975434359157227,-10,-3,808.63,-0.7911355311355464
11.427715067598287,508.79,25.63884021462399,-12,-1,808.15,-0.7441623376623474
11.67771085412111,509.04,27.439346376906226,-15,0,807.7,-0.7446616541353441
11.837708157495683,509.2,28.410540315530927,-17,0,807.08,-0.7673233082706736
12.04770461817489,509.41,31.122187603452453,-18,3,806.44,-0.8163736263736381
12.237701415932234,509.6,33.42316233710157,-19,5,805.71,-0.8738095238095411
12.427698213689576,509.79,35.28401528587524,-18,4,804.98,-0.9538345864661758
12.677694000212398,510.04,37.69084092715256,-15,4,804.29,-1.0516734693877574
12.837691303586972,510.2,38.72180508157529,-13,3,803.62,-1.121353383458645
13.047687764266179,510.41,39.595773197426524,-9,1,803.05,-1.2026373626373696
13.247684393484425,510.61,39.004267819858704,-5,-1,802.59,-1.2823809523809717
13.437681191241769,510.8,38.26890289218425,-2,-3,802.27,-1.376578947368406
13.697676809225493,511.06,37.450222064135495,2,-6,802.08,-1.4692302184031363
13.847674281139165,511.21,36.41872240807927,3,-8,801.98,-1.5161691729323405
14.037671078896507,511.4,35.539303479904255,5,-11,801.98,-1.5633095238095263
