report_t_s,t,IAS_kmh,Glide_ratio_GNSS,pitch
0.12000000000000455,298.27,33.692553149844585,8.115623772895445,-1
0.28000000000002956,298.43,33.76912723304576,8.140909607220905,-1
0.4900000000000091,298.64,33.67338242103797,8.16513925254559,-1
0.7100000000000364,298.86,33.5388804986398,8.186949214983551,0
0.8799999999999955,299.03,33.57736459678315,8.207392231282167,-1
1.1200000000000045,299.27,33.654200771847734,8.2283009748372,0
1.2900000000000205,299.44,33.50035219126473,8.24894934436524,1
1.4800000000000182,299.63,33.132098777284774,8.270543706562393,1
1.6899999999999977,299.84,32.975814421097986,8.293102373252221,1
1.8900000000000432,300.04,32.75970607067064,8.315382439964358,2
2.1200000000000045,300.27,32.60163660284056,8.335751031180344,3
2.2800000000000296,300.43,32.72026029348589,8.355158725178642,3
2.490000000000009,300.64,32.402965425518495,8.372690267593772,2
2.7100000000000364,300.86,31.96154218074322,8.389192132151885,2
2.8799999999999955,301.03,32.08253267840967,8.404224280513196,1
3.1200000000000045,301.27,31.718176643556244,8.418992291870959,1
3.2800000000000296,301.43,31.554890222258344,8.432058013465472,1
3.490000000000009,301.64,31.534419970203082,8.443838763432812,0
3.6899999999999977,301.84,31.900874852055868,8.455177517499344,0
3.8799999999999955,302.03,31.860365788284124,8.465510866179294,0
4.1299999999999955,302.28,31.718176643556244,8.474020106039706,-1
4.2900000000000205,302.44,31.554890222258344,8.4797150903101,-2
4.480000000000018,302.63,31.554890222258344,8.483644307926085,-1
4.680000000000007,302.83,31.534419970203082,8.48926904659576,-2
4.8700000000000045,303.02,31.799505435122217,8.49714405498059,-1
5.110000000000014,303.26,32.26316769624332,8.50853577189552,-1
5.28000000000003,303.43,32.34312610312195,8.525208493670767,-1
5.480000000000018,303.63,32.30317163931715,8.543466309393004,-1
5.680000000000007,303.83,32.442796989942345,8.56558438809456,-1
5.8700000000000045,304.02,32.72026029348589,8.590541972611573,-1
6.1299999999999955,304.28,32.700519561496826,8.61436634587592,0
6.28000000000003,304.43,32.72026029348589,8.640346017122269,1
6.470000000000027,304.62,32.9170164882815,8.670394783140974,1
6.689999999999998,304.84,33.073578686662515,8.703787788447244,0
6.8799999999999955,305.03,33.345793802003186,8.740129603626912,0
7.110000000000014,305.26,33.67338242103797,8.7785686487018,0
7.270000000000039,305.42,33.61580463752983,8.82095825425379,0
7.490000000000009,305.64,33.50035219126473,8.868164459035205,0
7.680000000000007,305.83,33.42316233710157,8.92193732174648,1
7.8799999999999955,306.03,33.38450048224444,8.979854387858236,1
8.120000000000005,306.27,32.8777594480909,9.041648075496603,1
8.270000000000039,306.42,32.81878584106415,9.106307526428411,1
8.470000000000027,306.62,32.68076690517229,9.174559605394847,1
8.689999999999998,306.84,32.48257971119101,9.245212794303331,1
8.879999999999995,307.03,32.14285714285714,9.318534775879893,1
9.120000000000005,307.27,30.809393859665597,9.39451821134918,1
9.270000000000039,307.42,29.67779782385259,9.472463714147885,1
9.490000000000009,307.64,27.743587234765823,9.555227554764263,1
9.680000000000007,307.83,26.60294789557529,9.635891429513885,4
9.870000000000005,308.02,25.86451650979995,9.72057045498666,4
10.110000000000014,308.26,26.334594013136687,9.801673646528075,4
10.270000000000039,308.42,26.772318078681987,9.881679845528831,7
10.480000000000018,308.63,26.359102714591163,9.956670522356339,0
10.680000000000007,308.83,26.91664428928536,10.028119766955424,4
10.890000000000043,309.04,27.556759606310752,10.092795433509862,3
11.129999999999995,309.28,28.2281272557594,10.14988305337665,4
11.28000000000003,309.43,28.839147500774505,10.20316619711703,3
11.5,309.65,29.32760505679498,10.246606903840686,1
11.689999999999998,309.84,29.239401533561118,10.27217686835413,0
11.879999999999995,310.03,29.217309047192956,10.279084193723165,0
12.140000000000043,310.29,29.217309047192956,10.264475312947189,-3
12.300000000000011,310.45,28.928571428571427,10.22575960444448,-1
12.5,310.65,29.017719779894662,10.169846189751794,-2
12.689999999999998,310.84,28.883894071518366,10.093751143563464,-2
12.879999999999995,311.03,28.74944542499729,10.003689948191948,-3
13.120000000000005,311.27,28.546585181247227,9.901161316045783,-1
13.300000000000011,311.45,27.95227574613121,9.78589994965956,1
13.490000000000009,311.64,26.112980586329872,9.653007216442706,-3
13.670000000000016,311.82,24.845825625654065,9.507809113130953,-2
13.879999999999995,312.03,24.5582787695402,9.354019515004248,2
14.120000000000005,312.27,25.664013357864608,9.192896032255318,5
14.300000000000011,312.45,25.839538699521736,9.024234471660451,3
14.490000000000009,312.64,25.739385071861193,8.846011313310617,4
14.680000000000007,312.83,25.38573589113961,8.657673987276928,4
14.890000000000043,313.04,24.923671745256677,8.465216566726651,5
15.110000000000014,313.26,24.026651337416872,8.269022712413372,6
15.29000000000002,313.44,23.37274216968587,8.069665425113559,7
15.480000000000018,313.63,22.72843225242474,7.866208098110236,8
15.680000000000007,313.83,22.006709899761134,7.657578175136246,7
15.890000000000043,314.04,21.077480970970715,7.449906039604508,6
16.120000000000005,314.27,20.233411572879916,7.241937419024201,5
16.29000000000002,314.44,19.584735439747405,7.0359950964330675,4
16.49000000000001,314.64,19.117570585773727,6.829891858633107,3
16.680000000000007,314.83,18.35945302306478,6.629550976210198,1
16.890000000000043,315.04,18.1471978778082,6.433918778182579,2
17.100000000000023,315.25,18.604023593770005,6.245070699683961,1
17.28000000000003,315.43,19.151317426842297,6.063625458845868,-1
17.49000000000001,315.64,19.385900488630956,5.889749394418774,-3
17.689999999999998,315.84,19.683399718793392,5.723638064965832,-5
17.879999999999995,316.03,20.360666988192744,5.565315548191086,-5
18.120000000000005,316.27,20.706587239379665,5.415988884781523,-6
18.29000000000002,316.44,20.95457915957994,5.273736121457195,-6
18.480000000000018,316.63,21.321159366570427,5.142178514699136,-7
18.680000000000007,316.83,22.03603264414621,5.023008721097626,-6
18.879999999999995,317.03,22.442528641771514,4.916571753813151,-6
19.110000000000014,317.26,22.95459137745916,4.821889362370181,-5
19.28000000000003,317.43,23.03882869312197,4.738629381926886,-4
19.5,317.65,22.72843225242474,4.665351363030242,-3
19.689999999999998,317.84,22.64304022008006,4.602227998139285,-1
19.890000000000043,318.04,22.557324933672106,4.546866193531901,-1
20.120000000000005,318.27,22.70000393329104,4.499992209736376,1
20.29000000000002,318.44,22.87004379228917,4.458933897624511,2
20.49000000000001,318.64,22.841791719994113,4.424418423713569,3
20.680000000000007,318.83,22.47128269410465,4.3943266722348,3
20.879999999999995,319.03,22.240209379979003,4.367908937260545,4
21.120000000000005,319.27,22.18206494224649,4.343681855422681,4
21.29000000000002,319.44,22.32714212590147,4.320384950767806,4
21.470000000000027,319.62,22.18206494224649,4.299872501831354,5
21.680000000000007,319.83,21.91850629872727,4.280151779395921,4
21.879999999999995,320.03,21.8299463151527,4.260458719751081,3
22.110000000000014,320.26,21.411823812547865,4.239893185087458,3
22.28000000000003,320.43,21.260501606769033,4.219821918047782,2
22.480000000000018,320.63,21.199670290081475,4.199634371367422,1
22.689999999999998,320.84,21.108094612334515,4.180393969091676,1
22.879999999999995,321.03,21.04682280060342,4.160836198371365,0
23.120000000000005,321.27,21.138663918159487,4.142655602676189,0
23.29000000000002,321.44,21.351423625049605,4.1256379994538745,-1
23.480000000000018,321.63,21.502105971845868,4.109158495829244,-2
