report_t_s,t,IAS_kmh,pitch,roll,GNSS_vz_ms
0.19603745263362687,557.78,36.54262607432809,5,5,-0.24301383399210863
0.3658680654775159,557.95,36.82426897732371,4,4,-0.30333333333334167
0.5756588225197999,558.16,37.034095570080794,4,3,-0.3278571428571695
0.7654695074629433,558.35,37.27740055096029,4,2,-0.30000000000001137
0.9852503005549681,558.57,37.65656093740708,4,2,-0.3059523809524194
1.2050310936468793,558.79,37.72508976741054,4,2,-0.28640522875815577
1.3648716704411412,558.95,37.84471662637484,5,2,-0.2999999999999545
1.574662427483425,559.16,37.980971672452945,5,3,-0.2699999999999818
1.7644731124265685,559.35,37.759307542941634,6,3,-0.26499999999998636
1.9742638694688526,559.56,37.60508236113511,5,3,-0.27068181818179937
2.18405462651125,559.77,37.19068863880543,6,3,-0.2611363636363535
2.3638752754047663,559.95,37.086366726046045,6,3,-0.20999999999997954
2.5736660324470506,560.16,36.8768375536621,6,3,-0.16499999999996362
2.7634767173901937,560.35,36.964285714285715,6,3,-0.12000000000000455
2.9732674744324776,560.56,37.12117327216424,6,3,-0.050833333333343944
3.1930482675245027,560.78,37.2947187403038,6,3,0.01555555555552246
3.3628788803683918,560.95,37.068951197156125,6,3,0.03999999999996362
3.5726696374106757,561.16,36.8768375536621,6,3,0.0709523809523489
3.7624803223538192,561.35,36.75406058366551,6,3,0.10500000000001819
3.9522910072968487,561.54,36.85932302522051,5,2,0.12309523809523171
4.192051872488128,561.78,36.59559922522189,5,2,0.05500000000000682
4.361882485332017,561.95,36.3299610711128,5,2,-0.025000000000034106
4.551693170275047,562.14,36.80672943406753,5,2,-0.24047619047621538
4.761483927317444,562.35,36.85932302522051,4,1,-0.46500000000003183
4.961284648310102,562.55,37.48469075257693,4,0,-1.044464285714298
5.191055477451753,562.78,35.702453397090636,6,-3,-1.4350000000000023
5.360886090295642,562.95,34.58159162895537,-6,-4,-1.7299999999999613
5.550696775238672,563.14,36.205329619506884,-8,-4,-2.0309523809523853
5.760487532281069,563.35,26.13769709028845,-12,-8,-2.34595238095244
5.970278289323353,563.56,16.62441498126739,-11,-1,-2.6167391304347802
6.190059082415378,563.78,13.252839510913907,-11,-9,-2.798478260869558
6.359889695259268,563.95,17.53185875566454,-17,-19,-3.0267647058823286
6.569680452301552,564.16,27.69699847437978,-27,-18,-3.1040476190476625
6.779471209343949,564.37,27.297783886279866,-27,-8,-3.1944987468671684
6.969281894286979,564.56,26.063477261078873,-24,-5,-2.94942307692304
7.199052723428631,564.79,25.939305629307274,-24,-3,-2.9496832579185934
7.3688833362725195,564.96,26.892643710023858,-27,-2,-3.080476190476247
7.578674093314804,565.17,27.274118702909686,-26,2,-3.129523809523789
7.768484778257947,565.36,29.15093112945598,-25,8,-3.129523809523789
7.958295463200977,565.55,31.30836386589346,-18,12,-3.153644736842125
8.21803640049151,565.81,34.50682053254553,-8,18,-3.123529411764764
8.367886941236145,565.96,35.44834017875267,-5,22,-3.126562500000091
8.557697626179175,566.15,35.155676015722534,1,21,-3.0684210526315496
8.767488383221572,566.36,33.05404896621932,1,22,-2.954047619047685
8.96728910421423,566.56,28.296669956237693,3,21,-2.822576923076838
9.217040005455136,566.81,34.431887066188736,5,15,-2.4831250000000296
9.376880582249397,566.97,36.1874900867069,6,11,-2.0544736842105635
9.566691267192427,567.16,37.74220253298443,5,7,-1.66571428571433
9.776482024234825,567.37,38.53793188376292,5,3,-1.260223684210473
9.976282745227595,567.57,38.93799034152552,3,0,-0.8683999999997809
10.206053574369134,567.8,37.69084092715256,1,-3,-0.4958000000000311
10.365894151163396,567.96,38.336337134603234,1,-4,-0.029627976190397476
10.555704836106425,568.15,39.235357336286896,0,-6,0.3646115288220244
10.765495593148824,568.36,38.68843859103446,0,-9,0.8040476190476511
10.955306278091852,568.55,37.450222064135495,-1,-10,1.1539999999998827
11.205057179332758,568.8,34.50682053254553,0,-12,1.3436538461538703
11.354907720077394,568.95,33.86460134845523,2,-13,1.4152083333333394
11.564698477119677,569.16,33.57736459678315,6,-15,1.4402380952381009
