report_t_s,t,IAS_kmh,Glide_ratio_GNSS,pitch,vario
0.10103868554179979,403.59,35.21073583961782,7.176539999433665,1,-1.66
0.28093677130654005,403.77,34.93456894170668,7.176642739763654,1,-1.57
0.46083485707128036,403.95,34.69344612576895,7.139680396448156,0,-1.54
0.6707159571301724,404.16,34.24383603106475,7.091791387441372,0,-1.61
0.870602719090976,404.36,34.01680257083045,7.026922514421579,0,-1.65
1.110466833443963,404.6,33.3651527550429,6.954094267041479,0,-1.69
1.3103535954047665,404.8,33.32642360356241,6.871465829028602,-1,-1.68
1.460268666875355,404.95,33.46177952194877,6.758045460512392,-1,-1.67
1.670149766934247,405.16,33.61580463752983,6.676146855244463,-1,-1.67
1.8800308669930823,405.37,34.39435911273112,6.582603176586043,0,-1.64
2.099906305149949,405.59,34.730650904422994,6.475875733529424,-1,-1.64
2.269810052816658,405.76,34.730650904422994,6.3740977860220935,-1,-1.68
2.4696968147774614,405.96,34.674828766700486,6.292155568987691,-1,-1.73
2.669583576738322,406.16,34.54422631104323,6.222945247497318,-1,-1.76
2.8694703386991254,406.36,34.63756402861977,6.177191548966936,-1,-1.79
3.1093344530521123,406.6,34.24383603106475,6.155759347720521,-2,-1.86
3.259249524522701,406.75,33.71171297689772,6.148696965722021,-2,-1.95
3.4591362864835045,406.95,33.76912723304576,6.192191729062328,-2,-2.02
3.6690173865423965,407.16,34.18721901350782,6.249354341414867,-2,-2.01
3.8689041485032,407.36,34.31918009581492,6.330289359611396,-1,-1.97
4.088779586660067,407.58,35.302311380071274,6.450624439863084,-1,-1.89
4.268677672424808,407.76,35.375401129910045,6.607920144897754,0,-1.83
4.45857009628758,407.95,35.338875151011464,6.7938897012709925,0,-1.73
4.658456858248383,408.15,35.84685218013556,7.007533072363447,0,-1.62
4.858343620209244,408.35,36.54262607432809,7.255539727923545,1,-1.42
5.088213396464142,408.58,35.93680678124662,7.533142419688753,1,-1.35
5.268111482228882,408.76,36.27660002237907,7.841859017011557,1,-1.39
5.467998244189686,408.96,36.27660002237907,8.134375987633863,2,-1.37
5.657890668052458,409.15,35.68436246438761,8.442787937337078,2,-1.32
