report_t_s,t,IAS_kmh,Glide_ratio_GNSS,pitch,roll,GNSS_vz_ms
0.0009862611456631818,428.19,30.152672741722043,9.742279939691633,-2,-1,-1.0539999999999736
0.2107771663209363,428.4,29.937754302102572,9.15059504082281,-3,-1,-1.125454545454545
0.40058798528905676,428.59,29.8297144177563,8.739002956307983,-2,0,-1.159090909090878
0.660329105982325,428.85,29.95931552513665,8.530166146847707,-2,0,-1.1983333333333803
0.8101797525360834,429.0,29.742999948195664,8.486876092072078,-2,0,-1.1990692640692941
1.00998061460778,429.2,30.42979751050953,8.638167825226361,-1,0,-1.1847402597403516
1.1997914335759006,429.39,30.725444401561866,9.01011478018553,-1,0,-1.1470300751878995
1.419572381854807,429.61,30.19547286651847,9.623447193458139,-2,1,-1.0614046822743148
1.6493433732372327,429.84,29.8297144177563,10.51602030272721,-1,0,-0.959829059829076
1.7991940197910476,429.99,29.56880811370837,11.838796314047741,0,1,-0.8196111111111577
2.018974968069897,430.21,29.894585203507944,13.87927974565104,0,1,-0.6547368421051942
2.2087857870380176,430.4,29.50322102788792,17.13631734878213,1,1,-0.49930735930740866
2.398596606006138,430.59,29.525099578190094,22.8225488313954,3,2,-0.34590909090911737
2.6283675973886207,430.82,29.65603192593096,,5,2,-0.18576923076921048
2.8081883732531647,431.0,29.612452134677596,,6,2,-0.0036898395721891575
2.997999192221285,431.19,29.371607489727428,,7,2,0.14459330143552052
3.1878100111894057,431.38,28.681984763959413,,7,2,0.267368421052538
3.397600916364679,431.59,27.92916513800802,,8,2,0.37071428571425713
3.6573420370579472,431.85,27.10788395373161,,8,1,0.4208333333333485
3.827172769818858,432.02,26.651449208213034,,9,0,0.41973684210540796
4.016983588786979,432.21,25.76445997802367,,8,0,0.36650375939848345
4.206794407755099,432.4,25.15576474687263,,8,-1,0.28476190476192187
4.416585312930429,432.61,24.426456675381424,,7,-1,0.15138111888109052
4.626376218105702,432.82,23.6746926364118,,6,-2,0.010769230769255955
4.8061969939702465,433.0,23.400353215544524,,4,-2,-0.20485994397756713
4.996007812938367,433.19,22.72843225242474,15.528910696659949,3,-3,-0.42058897243111915
5.205798718113639,433.4,22.15293549443071,10.000537737346745,1,-3,-0.6847727272727298
5.4055995801853935,433.6,22.006709899761134,7.210780648578374,-1,-2,-0.9230844155842988
5.625380528464243,433.82,21.85950617475339,5.577747147882258,-2,-2,-1.1695652173913231
5.7952112612252105,433.99,22.298202201715082,4.538293956982771,-3,-2,-1.4288562091503536
6.005002166400484,434.2,22.47128269410465,3.8619406647955734,-5,-1,-1.707857142857165
6.194812985368604,434.39,23.03882869312197,3.401066254012418,-6,-1,-1.937892857142856
6.41459393364751,434.61,23.918907963434812,3.080847013632307,-7,-1,-2.1845454545454004
6.644364925029936,434.84,24.74164979733319,2.8434082716990208,-9,0,-2.406764705882324
6.814195657790904,435.01,25.258232644556323,2.6693973126989565,-10,0,-2.5842640692641226
7.004006476759025,435.2,25.86451650979995,2.542443974989553,-10,0,-2.719772727272698
