report_t_s,t,IAS_kmh,Glide_ratio_GNSS,pitch,roll,GNSS_speed_kmh
0.05499734233742233,433.66,30.451010338119236,18.456011054813526,6,3,37.116
0.27477178793794826,433.88,30.577978270350716,15.91498359460416,5,2,36.72
0.45458724342931867,434.06,30.725444401561866,13.724127024291484,3,1,36.54
0.6543821939752669,434.26,30.725444401561866,11.953390650485108,1,0,36.576
0.8541771445212151,434.46,31.10143255772726,10.569318793094968,-1,-1,36.72
1.05397209506722,434.66,31.24642836732361,9.513952571470657,-2,-2,36.828
1.2937260357223237,434.9,31.30836386589346,8.702866580961572,-3,-3,37.152
1.4535619961591164,435.06,31.287732322390365,8.08915130866015,-4,-3,37.476
1.6533569467050646,435.26,31.513936421455032,7.6566168617327595,-4,-4,37.943999999999996
1.8431621497237238,435.45,31.900874852055868,7.350805632573579,-4,-4,38.196
2.052946847797018,435.66,31.860365788284124,7.149431627647545,-3,-4,38.736
2.272721293397544,435.88,32.68076690517229,7.015498305317612,-3,-3,39.06
2.452536748888914,436.06,32.62143717351071,6.951399355877533,-2,-3,39.492000000000004
2.6523316994348622,436.26,32.75970607067064,6.922420268026762,-4,-2,40.068000000000005
2.8521266499808102,436.46,31.73852837913991,6.921191553447004,-3,-1,40.356
3.0419318529994697,436.65,31.880626754267208,6.946054571401766,-3,-1,40.536
3.2716960461273414,436.88,32.60163660284056,6.9960627543864415,-1,0,40.608
3.451511501618712,437.06,33.014954867422716,7.043408147864571,-1,1,40.824
3.641316704637371,437.25,33.99781468067065,7.068185018184236,-1,1,41.004000000000005
3.8411116551833193,437.45,34.092648378637115,7.079880423679037,-1,2,41.148
4.040906605729267,437.65,34.18721901350782,7.052573426451072,-1,2,41.076
4.290650293911717,437.9,34.130508077563874,6.991877531753574,0,2,40.788000000000004
4.450486254348509,438.06,33.883663889423595,6.884913365793777,1,2,40.5
4.6303017098398795,438.24,33.86460134845523,6.723777756691409,2,1,40.032
4.840086407913117,438.45,33.61580463752983,6.506959499643635,3,1,39.672
5.039881358459065,438.65,33.558128064355344,6.221547962742909,4,0,38.988
5.259655804059648,438.87,33.788243638331735,5.863827073350595,3,-1,38.592000000000006
5.439471259551018,439.05,33.32642360356241,5.483019171695031,4,-1,37.943999999999996
5.639266210096967,439.25,32.64122573291234,5.09213141091675,3,-2,37.296
5.829071413115626,439.44,32.442796989942345,4.691903747455431,4,-3,36.72
6.038856111188863,439.65,32.16294015459027,4.305783116084136,4,-3,36.072
6.278610051844023,439.89,31.575347203481513,3.9396650271705784,4,-4,35.532
6.438446012280816,440.05,31.287732322390365,3.6038915442969905,4,-4,35.064
6.638240962826764,440.25,31.59579093964955,3.296410318634027,4,-5,34.308
6.838035913372712,440.45,30.976610251172758,3.010613186433281,5,-6,33.408
7.027841116391372,440.64,29.8297144177563,2.750542163768479,6,-5,32.580000000000005
7.267595057046532,440.88,26.554357995843702,2.515308588150495,6,-5,31.607999999999997
7.437420765010613,441.05,24.187366516005657,2.2944765754884067,8,-4,30.636
7.627225968029273,441.24,21.290852088468917,2.087803086081017,8,-4,29.412
7.827020918575221,441.44,17.49498834943707,1.8967834934867007,9,-2,27.971999999999998
8.026815869121169,441.64,13.349931208261191,1.719452227041893,10,-1,26.784000000000002
8.306528799885543,441.92,10.660579683285214,1.5542441269468301,10,1,25.38
8.45637501279499,442.07,9.232332824793259,1.4005924753718202,10,1,24.012
8.646180215813649,442.26,8.729020037571601,1.2604652704678212,9,2,22.644000000000002
8.855964913886941,442.47,7.790914056561957,1.1366306495861462,9,1,21.312
9.0457701169056,442.66,8.11567361118381,1.0260287037636593,7,2,19.98
9.295513805088051,442.91,8.65472915432331,0.9295748517835574,6,1,18.756
9.455349765524787,443.07,8.875736531668334,0.8479853556521115,4,1,17.712
9.645154968543446,443.26,9.302011796885003,0.7766855533666036,1,1,16.848
9.844949919089395,443.46,8.802683959904455,0.7174311017575288,-1,1,16.2
10.034755122108054,443.65,7.95495128834866,0.6678319911781069,-3,1,15.552000000000001
10.304478305345137,443.92,8.273274220435983,0.6287655836303048,-5,-1,15.012
10.454324518254584,444.07,9.020066914544321,0.5971633490755076,-4,-3,14.508000000000001
10.654119468800532,444.27,9.907093933342997,0.573770607610622,-6,-4,14.22
10.833934924291903,444.45,9.642857142857142,0.5560329306031119,-7,-4,13.932
11.033729874837851,444.65,9.091372900969896,0.5431147195065037,-7,-4,13.932
11.313442805602223,444.93,7.873359887517356,0.5325630780966248,-8,-3,14.004000000000001
11.443309523457094,445.06,7.452014862451904,0.5220574075966634,-8,-3,14.148000000000001
11.65309422153033,445.27,9.020066914544321,0.5126819930422359,-8,-3,14.004000000000001
11.842899424548989,445.46,8.504200642707612,0.5039839319398718,-8,-1,13.824
12.042694375094994,445.66,7.364853795464743,0.4955355432555472,-7,1,13.428
12.27245856822281,445.89,7.452014862451904,0.48694906680089556,-5,4,12.996
12.422304781132313,446.04,7.538168185430511,0.4807592699293771,-4,6,12.276000000000002
12.64207922673284,446.26,7.623347930763058,0.4764415347629196,-2,8,11.808
12.831884429751499,446.45,8.504200642707612,0.4765546781559234,0,10,11.268
13.041669127824791,446.66,6.7231609275059645,0.48412510065409214,0,11,11.016
13.271433320952607,446.89,6.224437520690491,0.49899909848518453,-2,10,11.196
13.42127953386211,447.04,5.450086593582804,0.5276615254560799,-5,8,11.772
13.641053979462637,447.26,6.013377943029548,0.572431456250573,-9,4,12.996
13.830859182481296,447.45,6.013377943029548,0.6322210277471527,-13,2,14.868
14.030654133027245,447.65,16.894121819165868,0.7054648813048814,-15,-4,16.704
14.270408073682404,447.89,24.871801404442756,0.7888276148446954,-20,-10,19.836
14.42025428659191,448.04,28.159417716324477,0.8820788306545483,-24,-14,23.976000000000003
14.620049237137856,448.24,31.472929330017006,0.9853367971677943,-28,-18,28.584000000000003
14.819844187683804,448.44,34.37557977247624,1.104872474169225,-31,-22,32.868
15.019639138229753,448.64,36.929331299173036,1.2433561905146684,-32,-24,36.75600000000001
15.269382826412203,448.89,40.049793624783575,1.4123460438234334,-31,-23,40.716
15.419229039321706,449.04,41.44434736573166,1.6198800322351694,-28,-22,44.604000000000006
15.629013737394944,449.25,43.422608848198806,1.8806206860933048,-23,-17,49.788000000000004
15.818818940413603,449.44,44.50944350612002,2.2188125006134056,-13,-12,55.044
16.01861389095955,449.64,47.116977474436226,2.6838620695700532,-9,-9,59.328
16.268357579142,449.89,49.83438771550817,3.373745788897491,-5,-6,63.864
16.428193539578793,450.05,50.131523444407144,4.451556522911486,1,-4,66.348
16.637978237652028,450.26,49.84734349051335,6.373997113028198,9,-1,67.5
16.83777318819798,450.46,49.92500753681485,10.824466832770407,15,2,67.14
17.037568138743982,450.66,49.665655094022135,31.729651642973856,19,5,68.328
17.277322079399088,450.9,47.67556170275784,,24,9,65.736
17.43715803983588,451.06,45.61285482745192,,26,12,61.88400000000001
17.63695299038183,451.26,42.46021547235934,,27,15,59.291999999999994
17.816768445873198,451.44,40.30693779852145,,28,18,54.468
18.026553143946433,451.65,39.020819599861014,,29,20,50.148
18.266307084601596,451.89,36.6661110424816,,29,23,46.007999999999996
18.426143045038387,452.05,34.93456894170668,,28,25,41.76
18.625937995584337,452.25,32.72026029348589,,26,27,38.088
18.825732946130284,452.45,30.556853585086408,,23,29,34.416000000000004
19.025527896676234,452.65,28.501309046198887,,20,30,31.5
19.265281837331393,452.89,26.383588649006786,,15,29,28.548
19.425117797768184,453.05,25.258232644556323,,13,27,26.388
19.624912748314134,453.25,24.160654893813604,,9,23,24.228
19.82470769886008,453.45,23.756376694973273,,5,19,22.536
20.02450264940603,453.65,23.972840180640475,20.28050052137757,1,13,21.204
20.26425659006119,453.89,24.53197101826138,9.402621858477938,-3,6,20.124
20.424092550497985,454.05,24.50563502460574,6.320076252661283,-6,2,19.259999999999998
20.62388750104393,454.25,24.845825625654065,4.9185440564138805,-9,-3,19.764000000000003
20.823682451589878,454.45,25.232654680887183,4.1639333401284775,-11,-9,19.836
