report_t_s,t,G_force,GNSS_vz_ms,GNSS_alt,pitch,roll
7.553382000030316,528.06,0.94,-0.5565000000000282,805.12,7,1
7.7431872030490325,528.25,0.93,-0.6182499999999891,805.03,6,1
7.942982153595037,528.45,0.92,-0.7072500000000446,804.91,5,1
8.14277710414093,528.65,0.93,-0.818541666666647,804.76,4,0
8.3725412972688,528.88,0.93,-0.9250000000000114,804.59,2,0
8.532377257705535,529.04,0.94,-1.0644444444444616,804.37,1,0
8.752151703306119,529.26,0.97,-1.218999999999994,804.15,0,-1
8.951946653852124,529.46,0.93,-1.380340909090819,803.9,-1,-1
9.141751856870727,529.65,0.94,-1.5379545454545678,803.63,-2,-1
9.371516049998599,529.88,0.89,-1.7900000000000205,803.35,-2,0
9.531352010435334,530.04,0.84,-2.0044444444444594,803.0,-2,1
9.731146960981338,530.24,0.86,-2.357105263157905,802.63,-1,4
9.930941911527343,530.44,0.8,-2.700833333333378,802.19,-2,8
10.150716357127813,530.66,0.74,-3.1689130434781987,801.66,-4,13
10.370490802728396,530.88,0.7,-3.5850000000000364,801.01,-7,19
10.55030625821971,531.06,0.69,-3.9565000000000623,800.28,-9,22
10.740111461238426,531.25,0.69,-4.334000000000003,799.41,-12,24
10.949896159311718,531.46,0.77,-4.715670995671019,798.43,-14,24
11.139701362330321,531.65,0.94,-5.007045454545448,797.33,-18,21
11.369465555458193,531.88,1.17,-5.291764705882315,796.18,-22,12
11.549281010949507,532.06,1.04,-5.578333333333262,795.05,-17,1
11.739086213968223,532.25,0.97,-5.7450000000000045,793.94,-8,-9
11.92889141698694,532.44,1.05,-6.026666666666586,792.82,-12,-18
12.13867611506012,532.65,1.08,-6.285000000000025,791.67,-11,19
12.358450560660701,532.87,1.07,-6.586304347826058,790.5,-12,35
12.528276268624726,533.04,0.96,-6.866666666666674,789.25,-7,43
12.73806096669802,533.25,0.82,-7.250238095238103,787.92,-6,33
12.927866169716737,533.44,0.81,-7.454761904761938,786.47,-5,30
