report_t_s,t,IAS_kmh,pitch,roll,GNSS_alt,GNSS_vz_ms
0.06737411128283757,456.04,33.05404896621932,-3,5,911.53,-1.3637092731829625
0.21737158319650804,456.19,32.700519561496826,-3,4,911.24,-1.418427128427116
0.4173682124147543,456.39,32.8777594480909,-2,3,910.93,-1.498062111801216
0.6273646730939612,456.6,32.72026029348589,-2,4,910.64,-1.5848067226890765
0.8173614708513036,456.79,32.79910440850482,-2,4,910.34,-1.6923991797676277
1.0673572573741257,457.04,32.46269444473524,-2,4,910.05,-1.8285714285714545
1.217354729287796,457.19,32.73998912270898,-2,3,909.74,-1.914436090225552
1.4173513585060424,457.39,33.24882996253478,-3,3,909.43,-2.0181857142856967
1.637347650646153,457.61,32.223114089619784,-2,2,909.12,-2.1251092436974983
1.8273444484034955,457.8,29.764702249476642,-2,1,908.79,-2.239097744360931
2.0773402349263175,458.05,28.27384085211297,-1,1,908.46,-2.3688041532402786
2.2373375383008915,458.21,28.02149320847576,-1,0,908.17,-2.4511600429645535
2.4273343360582342,458.4,28.38780278462522,-2,-2,907.89,-2.556786908743415
2.637330796737441,458.61,28.36504702723305,-1,-5,907.62,-2.710945378151304
2.8373274259556873,458.81,28.090540113667288,-1,-8,907.36,-2.901428571428596
3.0873232124785095,459.06,28.478643985718595,5,-9,907.12,-3.142870748299304
3.23732068439218,459.21,30.59908837177463,6,-5,906.87,-3.3125778732545217
3.427317482149522,459.4,32.32315504465516,4,-3,906.42,-3.4992833253702593
3.637313942828729,459.61,34.525528487583486,3,-7,905.8,-3.702273809523831
3.8173109091251676,459.79,35.192392136450664,5,-13,905.07,-3.9255263157895115
4.06730669564799,460.04,25.38573589113961,10,-16,904.23,-4.191836734693895
4.237303830483468,460.21,17.121918015532376,12,-13,903.33,-4.342534908700308
4.42730062824081,460.4,11.972944627835897,11,-6,902.42,-4.473676190476177
4.637297088920017,460.61,9.020066914544321,9,1,901.43,-4.590761904761929
4.827293886677359,460.8,8.875736531668334,6,8,900.43,-4.70727551020408
5.077289673200181,461.05,8.42792824422443,-3,12,899.5,-4.782679425837306
5.227287145113852,461.2,8.035714285714285,-10,13,898.54,-4.808045112781964
5.427283774332098,461.4,7.538168185430511,-17,15,897.6,-4.8109387755102135
5.617280572089441,461.59,5.567306167185676,-22,21,896.66,-4.7915109890109955
5.827277032768648,461.8,17.084162913323542,-24,32,895.64,-4.7130934479054565
6.057273156369606,462.03,31.880626754267208,-22,47,894.44,-4.612212674543506
6.22727029120514,462.2,35.81080707078834,-18,53,893.05,-4.525691729323317
6.4172670889624825,462.39,38.6550432990183,-13,55,891.51,-4.4357714285714565
6.62726354964169,462.6,41.03725286186905,-9,54,889.82,-4.335714285714273
6.817260347399032,462.79,42.91402475191721,-7,51,887.99,-4.205177228786234
7.077255965382758,463.05,45.25755377248519,-6,44,886.15,-4.017561761546712
7.237253268757332,463.21,46.81450177595198,-7,41,884.36,-3.890090702947873
7.427250066514675,463.4,48.66751263126446,-7,35,882.57,-3.7475571428571715
7.627246695732977,463.6,50.55479826436874,-4,31,880.87,-3.595098039215681
7.837243156412128,463.81,52.82832829465799,0,27,879.34,-3.416204797708539
8.107238605856757,464.08,54.26338826614542,5,23,878.01,-3.2210612244898096
8.23723641484862,464.21,54.32285501085719,7,21,876.97,-3.1288936627282573
8.447232875527828,464.42,53.86926137816046,9,18,876.15,-3.0118807453415974
8.63722967328517,464.61,52.225961172659744,10,14,875.53,-2.91514285714285
8.827226471042511,464.8,50.50368116508429,10,9,875.06,-2.8128571428571183
9.107221751948044,465.08,48.66751263126446,10,3,874.84,-2.6994962406014826
9.237219560939907,465.21,47.959146357996765,11,0,874.93,-2.652721088435377
9.447216021619115,465.42,47.144379033876305,12,-5,875.2,-2.5729216435738147
9.637212819376458,465.61,45.76831349752974,12,-7,875.61,-2.476078431372522
9.8272096171338,465.8,43.99874621358371,12,-9,876.06,-2.374210526315746
10.077205403656622,466.05,40.926958644364845,12,-12,876.54,-2.2229115646258606
10.227202875570292,466.2,38.98770901299065,12,-13,877.03,-2.105467239527424
10.437199336249499,466.41,36.59559922522189,11,-14,877.53,-1.9590384615384469
10.62719613400684,466.6,34.22497409846816,10,-14,877.97,-1.8248511904761568
10.837192594685991,466.81,31.94133254092252,9,-15,878.34,-1.6269172932330775
11.07718854974791,467.05,29.10659508687026,7,-13,878.68,-1.4256015037594156
11.22718602166158,467.2,27.76685230152481,6,-12,878.88,-1.3170068027211042
11.437182482340788,467.41,26.187060112714803,4,-10,878.99,-1.2029034391534392
11.637179111559034,467.61,25.512601928122837,3,-8,879.03,-1.118823529411738
11.847175572238184,467.82,25.232654680887183,0,-4,878.97,-1.0232259219477393
12.077171695839198,468.05,25.20705076289698,-4,0,878.81,-0.9811842105263265
12.227169167752868,468.2,25.283784732673293,-6,2,878.56,-0.9632975295381162
12.427165796971115,468.4,25.789510504094807,-9,4,878.2,-0.9671606033717646
12.627162426189418,468.6,26.236330259969744,-12,7,877.77,-1.001978021978029
12.837158886868568,468.81,26.675666795407228,-16,10,877.27,-1.0877179962894192
13.097154504852293,469.07,27.274118702909686,-19,12,876.64,-1.2123308270676685
13.247151976766022,469.22,27.92916513800802,-20,12,875.94,-1.2917894736842104
13.437148774523363,469.41,29.50322102788792,-19,10,875.18,-1.380854658385098
13.63714540374161,469.61,32.18301063401911,-17,9,874.44,-1.475899159663868
13.84714186442076,469.82,34.54422631104323,-14,8,873.69,-1.5789795918367093
14.087137819482678,470.06,36.31218276759108,-10,8,872.99,-1.6674812030075015
14.23713529139635,470.21,36.8768375536621,-7,9,872.34,-1.706258503401354
14.427132089153691,470.4,37.12117327216424,-4,11,871.75,-1.7428726708074496
14.617128886911033,470.59,36.78918152869156,-2,14,871.2,-1.7703968253968176
14.82712534759024,470.8,36.41872240807927,0,17,870.67,-1.7793197278911552
15.067121302652158,471.04,36.13391864343822,2,19,870.14,-1.7647669172932214
15.237118437487636,471.21,36.11604383717823,4,20,869.65,-1.743877551020416
15.42711523524498,471.4,36.27660002237907,6,22,869.18,-1.7139925465838652
15.627111864463282,471.6,36.80672943406753,9,23,868.75,-1.6722857142857006
15.837108325142433,471.81,37.39845946570745,11,24,868.36,-1.6072781954887236
16.067104448743446,472.04,37.77640480781729,13,24,867.98,-1.5388045112781907
