report_t_s,t,IAS_kmh,pitch,roll,GNSS_vz_ms
0.06508980805493651,741.3,41.22564215908069,-9,41,-4.128157894736944
0.22493464567649074,741.46,42.596865902245405,-8,43,-4.302619047619089
0.41475039035193023,741.65,44.07206528829242,-8,43,-4.371380952380946
0.6145564373788163,741.85,45.343079934640336,-8,44,-4.4599999999999795
0.8043721820542558,742.04,46.96598313065075,-8,46,-4.526499999999999
1.0641200431891393,742.3,47.770276974755944,-8,47,-4.5537037037035475
1.2139745784593607,742.45,47.82431576689235,-7,48,-4.706562499999961
1.4237709278374662,742.66,48.932155760266056,-7,51,-4.705068181818206
1.6135866725130192,742.85,50.55479826436874,-6,53,-4.812368421052668
1.8133927195397916,743.05,52.41109454717248,-7,55,-4.917307692307702
2.0831308830261217,743.32,53.65306280129014,-7,56,-5.098450980392158
2.213004813593564,743.45,54.50086593582804,-8,56,-5.155294117647088
2.432791465323002,743.67,54.10846886635422,-9,57,-5.370526315789391
2.622607209998555,743.86,54.06071204428123,-9,58,-5.570273809523826
2.8124229546739943,744.05,53.809293351803156,-10,59,-5.765476190476193
3.0521902111062125,744.29,53.82129230241542,-11,59,-6.078402777777967
3.2220253510790995,744.46,53.86926137816046,-12,60,-6.2870562770562515
3.421831398105872,744.66,54.91398073908178,-12,60,-6.5281818181817926
3.611647142781425,744.85,55.88144566300836,-13,60,-6.663131578947343
3.8214434921595304,745.06,56.95728797143719,-12,60,-6.715119047618771
4.061210748591748,745.3,58.8749756271885,-11,58,-6.798627450980348
4.211065283861969,745.45,59.713522081583456,-10,58,-6.715539215686249
4.420861633240075,745.66,61.25091107194126,-9,56,-6.535000000000025
4.620667680266961,745.86,62.66826838396684,-7,54,-6.245476190476211
4.83046402964518,746.07,63.94328442024995,-6,52,-5.935480072463633
5.040260379023285,746.28,62.85346478686982,-3,50,-5.6305615942027885
5.220085821347506,746.46,62.78150887915053,-1,49,-5.206428571428603
5.419891868374278,746.66,63.20179961432899,0,49,-4.8700000000000045
5.619697915401164,746.86,62.99713003667026,2,50,-4.583095238095211
5.8195039624279365,747.06,62.254748405078246,4,52,-4.4307142857146005
6.049280916508821,747.29,62.08856926740597,5,55,-4.352009803921533
6.199135451779043,747.44,62.057361138132286,5,57,-4.45715686274508
6.408931801157148,747.65,61.46139592277017,4,61,-4.723500000000001
6.608737848184034,747.85,60.57244460906598,2,63,-5.138619047618988
6.818534197562139,748.06,60.25178357085696,0,66,-5.614791666666633
7.038320849291691,748.28,59.96172248414238,-2,69,-6.126730072463772
7.208155989264578,748.45,60.47642482144322,-4,70,-6.869999999999948
7.407962036291351,748.65,60.678955056384204,-6,71,-7.46999999999997
7.597777780966903,748.84,59.82156183354026,-8,71,-7.999285714285804
7.807574130345009,749.05,59.420833545009046,-10,70,-8.568095238095225
8.047341386777227,749.29,61.19817674354926,-11,69,-8.804977375565727
8.197195922047449,749.44,62.82263663258163,-12,68,-9.007176470588377
8.406992271425553,749.65,64.28571428571428,-13,65,-8.970000000000027
8.616788620803773,749.86,66.17643682472128,-12,62,-8.56817099567104
8.806604365479211,750.05,67.10663441607738,-11,60,-7.918181818181722
9.066352226614095,750.31,67.82447521931526,-9,57,-6.864666666666835
9.216206761884317,750.46,66.81733876924524,-7,55,-5.620666666666693
9.406022506559756,750.65,66.04946546153951,-4,50,-4.514473684210543
9.605828553586642,750.85,65.85364687033245,2,45,-2.9597619047618196
9.825615205316195,751.07,63.96347809971128,6,37,-0.9711538461534701
10.075372764099745,751.32,62.60641450965789,13,28,0.8656666666676642
10.225227299369852,751.47,61.12427225058198,16,22,2.4074436090224935
10.415043044045293,751.66,57.65590001138173,20,14,3.7334999999999923
10.62483939342351,751.87,52.91382096371033,24,2,5.016262626262574
10.824645440450396,752.07,50.52924617870085,28,-9,5.931153846154075
11.05442239453117,752.3,45.20044642636682,32,-21,6.537999999999954
11.20427692980139,752.45,41.38197810937628,35,-26,6.834666666666578
11.414073279179496,752.66,36.929331299173036,39,-32,7.0499999999999545
11.613879326206382,752.86,32.75970607067064,40,-35,6.728583959899709
11.793704768530487,753.04,29.26147734005323,40,-38,6.198250000000314
12.05345262966537,753.3,25.232654680887183,36,-40,5.162058823529435
12.203307164935593,753.45,23.03882869312197,33,-40,4.324999999999989
12.413103514313699,753.66,20.455589027182267,28,-39,3.4052631578946944
12.602919258989251,753.85,17.60536791980891,24,-37,2.4828095238094647
12.79273500366469,754.04,15.457005049557331,20,-35,1.6161904761904111
13.032502260096908,754.28,12.806821165587772,12,-30,0.860769230769165
13.202337400069796,754.45,10.036603925997424,6,-25,0.08500000000003638
13.402143447096568,754.65,7.95495128834866,-5,-17,-0.6095238095237505
13.591959191772121,754.84,9.232332824793259,-13,-9,-1.2800000000000296
13.801755541150227,755.05,13.589625957820523,-24,1,-1.9152083333331689
14.031532495231112,755.28,17.421013437331176,-28,5,-2.4599999999999795
14.201367635203999,755.45,21.16918908051347,-33,14,-2.92999999999995
14.391183379879438,755.64,24.53197101826138,-34,25,-3.3290000000000077
14.600979729257658,755.85,28.182339509062793,-36,33,-3.6635822510822322
14.840746985689874,756.09,31.37017708276575,-37,37,-3.9856521739130812
15.030562730365315,756.28,34.39435911273112,-36,36,-4.219117647058795
