report_t_s,t,IAS_kmh,pitch,roll,vario
10.95978789289753,470.8,42.56653705119331,8,-3,-5.7
11.119628469691678,470.96,43.7632997277539,10,-2,-5.07
11.309439154634765,471.15,44.88505728354303,10,0,-4.31
11.499249839577852,471.34,45.3857825778523,11,2,-3.54
11.699050560570623,471.54,45.88104350449349,10,2,-2.7
11.928821389712217,471.77,45.62700932114482,10,2,-1.67
12.108642038605677,471.95,44.62535371151192,10,1,-0.93
12.318432795648075,472.16,43.31838848124714,10,1,-0.16
12.528223552690415,472.37,42.246769590305085,10,0,0.51
12.708044201583874,472.55,40.911178054364534,10,0,0.95
12.937815030725469,472.78,39.415977219955884,10,-2,1.47
13.107645643569303,472.95,38.3868350758806,10,-4,1.79
13.307446364562015,473.15,36.54262607432809,9,-5,2.02
13.507247085554786,473.35,34.916080150286405,9,-7,2.1
13.697057770497873,473.54,32.402965425518495,9,-8,2.11
13.936818635689095,473.78,29.63425004129856,9,-9,1.98
14.106649248532927,473.95,28.1135180644327,8,-10,1.8
14.30644996952564,474.15,26.748187998899844,8,-10,1.55
14.536220798667292,474.38,25.15576474687263,6,-11,1.17
14.706051411511124,474.55,24.160654893813604,4,-10,0.83
14.95580231275203,474.8,22.671539967320168,2,-9,0.33
15.105652853496553,474.95,22.240209379979003,0,-9,0.03
15.31544361053895,475.16,22.123767693111756,-3,-7,-0.25
15.505254295482036,475.35,22.094561386394226,-6,-5,-0.53
15.695064980425123,475.54,22.240209379979003,-8,-4,-0.85
15.924835809566718,475.77,22.756825058313687,-10,-2,-1.3
16.09466642241055,475.94,23.234194759501545,-11,0,-1.58
16.314447215502575,476.16,23.756376694973273,-12,2,-1.9
16.524237972544917,476.37,24.74164979733319,-13,3,-2.14
16.714048657488004,476.56,25.76445997802367,-14,4,-2.3
16.953809522679283,476.8,27.345052811528927,-13,6,-2.49
17.103660063423803,476.95,28.090540113667288,-12,6,-2.65
17.3134508204662,477.16,30.08835840029312,-12,6,-2.75
17.503261505409288,477.35,32.62143717351071,-10,7,-2.75
17.703062226402,477.55,34.31918009581492,-10,7,-2.67
17.95281312764291,477.8,36.205329619506884,-9,7,-2.5
18.10266366838743,477.95,37.67370483127835,-8,7,-2.38
18.30246438938014,478.15,38.73847754955198,-6,7,-2.21
18.51225514642254,478.36,38.218249126909654,-6,6,-2.03
18.702065831365626,478.55,38.235141171547454,-4,5,-1.86
18.931836660507223,478.78,37.84471662637484,-2,4,-1.56
19.101667273351055,478.95,38.285772587908696,-1,3,-1.34
19.29147795829414,479.14,37.91290536027466,-1,2,-1.05
