report_t_s,t,IAS_kmh,pitch,roll,vario
0.12059877904217352,459.95,41.38197810937628,11,8,-0.39
0.31040946398526004,460.14,41.45992501986782,10,6,-0.29
0.5202002210276577,460.35,40.51466571199992,10,4,-0.16
0.7100109059707442,460.54,39.268259109226975,11,4,-0.14
0.9497717711619665,460.78,37.86177532303847,11,6,-0.2
1.1196023840057987,460.95,37.450222064135495,11,5,-0.24
1.3094130689488852,461.14,36.68371781950712,10,4,-0.32
1.519203825991283,461.35,36.0623662590807,9,3,-0.44
1.7090145109343695,461.54,35.539303479904255,8,3,-0.56
1.948775376125592,461.78,35.22906999125835,7,3,-0.77
2.118605988969424,461.95,34.98997669887414,6,2,-0.93
2.3084166739125105,462.14,34.5629140193677,5,2,-1.12
2.5281974670045355,462.36,35.06371751132908,3,2,-1.32
2.718008151947622,462.55,34.98997669887414,2,1,-1.51
2.927798908989963,462.76,35.137303568156966,1,2,-1.7
3.1176095939330493,462.95,34.916080150286405,1,2,-1.83
3.307420278876136,463.14,35.06371751132908,0,3,-1.88
3.5072209998688497,463.34,35.118921509055255,-1,3,-1.91
3.7170117569112473,463.55,35.22906999125835,-2,3,-1.93
3.9467825860528425,463.78,35.990671623040754,-2,3,-1.96
4.116613198896674,463.95,36.40098745576968,-2,2,-2.0
4.3164139198893885,464.15,36.560292319534256,-2,2,-2.06
4.526204676931786,464.36,36.75406058366551,-1,1,-2.07
4.716015361874873,464.55,37.329331015725856,-1,1,-2.06
4.9258061189172135,464.76,37.63940923488333,0,1,-2.01
5.115616803860299,464.95,38.014959125940656,1,1,-1.88
5.305427488803386,465.14,38.63833482912206,2,1,-1.74
5.525208281895411,465.36,38.53793188376292,3,1,-1.58
5.715018966838498,465.55,38.235141171547454,3,0,-1.44
5.944789795980093,465.78,37.96396653541409,4,0,-1.34
6.114620408823925,465.95,37.96396653541409,5,1,-1.31
6.314421129816639,466.15,38.42046349676331,5,1,-1.29
6.504231814759725,466.34,38.09979511434546,1,0,-1.3
6.714022571802123,466.55,35.357142857142854,5,-4,-1.35
6.953783436993402,466.79,35.81080707078834,-6,-4,-1.69
7.123614049837178,466.96,35.738607789541746,-3,-6,-2.19
7.313424734780264,467.15,28.044527732060054,6,-4,-3.34
7.523215491822661,467.36,16.663211801781205,7,-6,-4.37
7.713026176765748,467.55,9.70959051449564,5,-12,-4.57
7.942797005907344,467.78,7.096950696156305,-1,-15,-4.84
8.112627618751176,467.95,7.187361356249323,-2,-18,-5.27
8.312428339743889,468.15,4.953546966671499,1,-13,-5.15
8.542199168885542,468.38,4.953546966671499,3,-6,-4.65
8.712029781729374,468.55,8.194852789702688,2,-5,-3.7
8.941800610870969,468.78,15.869264189569956,-8,-9,-3.05
9.1116312237148,468.95,19.31916741456103,-20,0,-2.8
9.301441908657887,469.14,14.01074660423788,-23,11,-3.46
9.511232665700286,469.35,10.538740485485357,-28,27,-4.35
9.701043350643372,469.54,18.947934839815066,-30,34,-5.47
9.940804215834595,469.78,25.46193136782031,-26,22,-6.98
10.110634828678426,469.95,30.045405689742722,-25,13,-7.67
10.300445513621513,470.14,33.807349234225654,-21,5,-7.98
10.540206378812792,470.38,38.93799034152552,-7,-3,-7.54
10.730017063755879,470.57,40.94273315204035,0,-4,-6.71
