report_t_s,t,IAS_kmh,Glide_ratio_GNSS,pitch,roll,GNSS_speed_kmh
0.10049197622684712,317.86,36.436448728139894,13.214642517697966,1,-1,46.62
0.28030743171821754,318.04,36.471875521854265,13.392483501762067,2,-1,46.692
0.4701126347368768,318.23,36.205329619506884,13.579611671338478,2,-1,46.728
0.6798973328101139,318.44,36.64849580675801,13.788677764814043,3,-1,46.800000000000004
0.8697025358287731,318.63,37.10377408054884,13.991539784604981,3,-1,46.836
1.1094564764839336,318.87,37.12117327216424,14.1596571840092,3,-1,46.872
1.289271931975304,319.05,36.98175053251238,14.310071270729198,3,0,46.836
1.4690873874666746,319.23,36.507267937287466,14.40461851011163,4,0,46.764
1.6788720855399115,319.44,36.0623662590807,14.496647099059281,4,1,46.512
1.8786670360858597,319.64,36.080267658177284,14.537671264654707,5,1,46.368
2.11842097674102,319.88,35.93680678124662,14.520815914315575,4,2,46.188
2.278256937177813,320.04,36.008608664584415,14.387572744013603,4,2,45.972
2.478051887723761,320.24,36.080267658177284,14.167634824103207,4,2,45.792
2.6678570907424204,320.43,36.151784611720686,13.836642454321812,3,1,45.684
2.8676520412883684,320.63,36.044455969295036,13.455619187911692,3,1,45.684
3.107405981943529,320.87,35.86486114996296,13.039618144557569,2,1,45.54
3.2672419423802648,321.03,35.738607789541746,12.611694040979257,2,1,45.54
3.4770266404535586,321.24,35.882861081409814,12.201454102991606,2,1,45.468
3.676821590999507,321.44,35.81080707078834,11.771161683287737,2,0,45.396
3.876616541545455,321.64,35.82883415829849,11.371778158904842,2,0,45.431999999999995
4.116370482200615,321.88,35.738607789541746,11.010787547013194,1,-1,45.54
4.276206442637408,322.04,35.648153056315984,10.699196521476468,1,-1,45.684
4.466011645656067,322.23,35.86486114996296,10.450645205474638,1,-2,45.792
4.665806596202016,322.43,35.84685218013556,10.27306636042419,0,-3,45.936
4.865601546747964,322.63,35.86486114996296,10.138246538837068,0,-3,46.152
5.105355487403124,322.87,36.205329619506884,10.052699615260394,0,-4,46.368
5.26519144783986,323.03,36.436448728139894,10.000109158898951,0,-4,46.692
5.464986398385865,323.23,37.016655448760424,9.994563193111576,-1,-4,47.016000000000005
5.654791601404525,323.42,36.84180017040316,10.0479535913165,-1,-4,47.304
5.864576299477761,323.63,36.929331299173036,10.176582016332073,0,-4,47.592000000000006
6.1043302401329225,323.87,37.12117327216424,10.36585720594749,0,-3,47.916000000000004
6.274155948097004,324.04,37.068951197156125,10.617695081009815,0,-3,48.168000000000006
6.4739508986429515,324.24,37.36391122788001,10.925955910712014,1,-2,48.384
6.663756101661611,324.43,37.87882633733359,11.286215303744095,1,-2,48.564
6.883530547262137,324.65,38.167528136907585,11.710662087119301,1,-1,48.852000000000004
7.10330499286272,324.87,38.437266674254495,12.165823377358386,2,0,48.96
7.263140953299455,325.03,38.37000981314996,12.675276646154844,2,1,49.14
7.4829153989000385,325.25,37.24274001296722,13.185440424785403,2,2,48.672
7.672720601918698,325.44,35.702453397090636,13.667462803782229,3,2,49.032
7.8725155524646455,325.64,34.674828766700486,14.037376237954366,3,3,48.744
8.092289998065228,325.86,34.130508077563874,14.284540478280439,3,3,48.564
8.272105453556598,326.04,34.431887066188736,14.41673040558526,4,3,48.384
8.471900404102547,326.24,34.20610176502408,14.388714200046792,4,3,48.132
8.671695354648495,326.44,33.71171297689772,14.230823880367574,4,3,47.88
8.861500557667155,326.63,32.9170164882815,13.978347740059029,4,3,47.772
9.111244245849605,326.88,32.502452811680385,13.674181082987213,4,2,47.412
9.271080206286397,327.04,32.402965425518495,13.321520227088028,4,1,47.268
9.470875156832344,327.24,32.34312610312195,12.964891111032019,4,1,47.052
9.670670107378292,327.44,32.89739382395151,12.671861426092377,3,0,47.088
9.860475310396952,327.63,33.24882996253478,12.477427147092502,3,-1,46.728
10.100229251052113,327.87,33.3651527550429,12.400198855513583,3,-1,46.440000000000005
10.260065211488849,328.03,33.073578686662515,12.448158929995161,3,0,46.188
10.479839657089432,328.25,32.77941115881075,12.645385168284099,3,0,46.007999999999996
