report_t_s,t,IAS_kmh,pitch,roll
0.03379400000005717,584.69,19.218633337127248,15,-3
0.21379400000000714,584.87,18.534475598578062,11,-1
0.40379399999994803,585.06,18.39459076434578,8,1
0.5937940000000026,585.25,18.28897501619096,8,3
0.7937940000000481,585.45,18.28897501619096,3,4
1.0337940000000572,585.69,18.464665649586518,-3,4
1.1937940000000253,585.85,19.252203027928296,-8,6
1.403793999999948,586.06,20.455589027182267,-12,7
1.5937940000000026,586.25,21.56208406874797,-14,7
1.803794000000039,586.46,22.87004379228917,-16,6
2.0237939999999526,586.68,24.45287794505829,-17,7
2.2037940000000162,586.86,25.91439990524534,-18,7
2.403793999999948,587.06,27.179251915641046,-20,8
2.5837940000000117,587.24,27.813324053373396,-18,8
2.803794000000039,587.46,28.591789619984777,-13,8
3.0237939999999526,587.68,29.590638170660306,-8,8
3.1937940000000253,587.85,30.704421173372356,-6,9
3.4137940000000526,588.07,31.26708716519526,-3,9
3.5937940000000026,588.25,31.63663877951174,0,9
3.803794000000039,588.46,31.59579093964955,2,9
4.023793999999953,588.68,30.997448874620215,8,9
4.203794000000016,588.86,30.28089163084838,8,9
4.393793999999957,589.05,30.323510781610512,7,8
4.613793999999984,589.27,29.69954777021195,9,8
4.803794000000039,589.46,29.217309047192956,10,7
5.023793999999953,589.68,28.995458388217575,10,6
5.203794000000016,589.86,28.38780278462522,7,5
5.403793999999948,590.06,27.39224016813104,6,4
5.593794000000003,590.25,27.036327602026162,5,3
5.793794000000048,590.45,27.084052842352577,7,2
6.033794000000057,590.69,27.13169413307271,5,0
