report_t_s,t,IAS_kmh,Glide_ratio_GNSS,pitch,roll,GNSS_vz_ms
0.14752744138223453,370.0,32.243147112437484,6.90580008508296,1,0,-1.4500000000000455
0.337338260350355,370.19,32.32315504465516,6.916234921098336,1,0,-1.4399999999999409
0.5471291655256281,370.4,32.34312610312195,6.911397761197416,0,0,-1.4284090909089855
0.7369399844937485,370.59,32.16294015459027,6.878542078135326,1,0,-1.4371052631578323
0.9767010189798074,370.83,32.18301063401911,6.837108386931913,1,-1,-1.4466666666667152
1.1465317517407752,371.0,32.28317586417964,6.788861091434152,2,-2,-1.4778571428571468
1.3363425707088956,371.19,32.30317163931715,6.7057578683012675,1,-2,-1.4821428571428896
1.556123518987802,371.41,33.014954867422716,6.59845570408198,0,-3,-1.5421052631578505
1.7459343379559222,371.6,33.44247650360059,6.48079197408029,0,-3,-1.5783974358973865
1.9757053293383482,371.83,33.86460134845523,6.368632728238125,-2,-2,-1.6078846153845916
2.1355460189957394,371.99,34.30035959530668,6.273613443634252,-1,-2,-1.6613786764705765
2.3453369241710127,372.2,34.93456894170668,6.204086085958107,-2,-2,-1.7174090909092001
2.535147743139133,372.39,35.430119493828116,6.137269223338506,-2,-1,-1.7631818181818062
2.7249585621072536,372.58,35.82883415829849,6.1117320504729005,-2,-1,-1.790789473684299
2.984699682800465,372.84,36.84180017040316,6.11880364179885,-3,0,-1.7888541666666242
3.1445403724578567,373.0,37.26007431225952,6.142121424222814,-3,1,-1.7729761904762427
3.334351191425977,373.19,37.48469075257693,6.196016036141788,-2,1,-1.7796992481203233
3.534152053497674,373.39,37.329331015725856,6.283540941797275,-1,1,-1.7375000000000682
3.723962872465794,373.58,37.19068863880543,6.3973353154711585,-2,2,-1.6876315789473892
3.9737139500554295,373.83,37.22539764182294,6.524182320643012,-2,3,-1.6659153846153458
4.1535347259199735,374.01,37.12117327216424,6.647765363050161,0,2,-1.6297619047619492
4.343345544888094,374.2,36.489576020601625,6.738364670345247,1,3,-1.5809999999999036
4.54314640695979,374.4,36.73648751998648,6.816142618691195,0,2,-1.5588847117795694
4.732957225927911,374.59,36.78918152869156,6.843559696173153,1,2,-1.5401047619046722
4.982708303517547,374.84,36.82426897732371,6.80900763033476,1,3,-1.5558333333333394
5.1325589500713615,374.99,36.57795003238192,6.7288782056536895,0,3,-1.613333333333344
5.342349855246635,375.2,36.11604383717823,6.60308417924991,2,1,-1.6356818181817516
5.532160674214755,375.39,36.258795555037956,6.42336138471889,1,1,-1.706184210526203
5.7419515793900855,375.6,35.990671623040754,6.197191369182462,2,1,-1.7887999999999238
5.981712613876087,375.84,36.89434376758606,5.94771666608056,0,-1,-1.89093749999995
6.131563260429902,375.99,37.63940923488333,5.682956574913236,0,-2,-1.9850000000000136
6.351344208708752,376.21,38.26890289218425,5.437810913621921,-2,-2,-2.107105263157905
6.541155027676872,376.4,38.15060615507963,5.200855883966157,-1,-3,-2.2416547619046696
6.7409558897486255,376.6,38.3531771692984,4.976787141999665,-2,-4,-2.3734782608696605
6.970726881131052,376.83,38.6550432990183,4.776058841745123,-3,-5,-2.5172058823528687
7.130567570788443,376.99,39.08695662969206,4.60067125302474,-3,-5,-2.6299999999999955
7.340358475963716,377.2,39.235357336286896,4.4455099370646565,-4,-5,-2.7540909090909054
7.530169294931836,377.39,40.00139506495814,4.310533250988929,-4,-5,-2.897368421052761
7.7299701570035335,377.59,40.847994730089106,4.2121133190316415,-6,-6,-3.03125
7.959741148386016,377.82,41.692891407019864,4.13661662268005,-6,-6,-3.1004096989966
8.129571881146983,377.99,42.21618922466903,4.093583184156538,-7,-5,-3.1970000000000027
8.349352829425833,378.21,42.91402475191721,4.070409531509377,-7,-5,-3.3004761904762745
8.539163648393954,378.4,43.24379157987978,4.070160971696027,-6,-4,-3.305250000000001
8.728974467362073,378.59,43.83701259745454,4.104438083762696,-6,-2,-3.3350000000000364
8.988715588055342,378.85,44.78424040636963,4.167702961488798,-5,-1,-3.292549019607918
9.138566234609101,379.0,45.071690343364786,4.251924198747838,-4,0,-3.2650108225107033
9.32837705357722,379.19,45.45686450484948,4.365500188638762,-3,1,-3.215454545454463
9.538167958752494,379.4,45.52783545283488,4.5163518212930125,-3,1,-3.0813636363635624
9.727978777720615,379.59,45.76831349752974,4.688215473714964,-2,1,-2.9443181818181756
9.967739812206673,379.83,46.59328611747072,4.896309456283794,0,2,-2.851538461538553
10.117590458760489,379.98,46.86964255098541,5.128948496192026,0,3,-2.7112941176469576
10.327381363935762,380.19,46.95223229354424,5.392707933339644,1,3,-2.544999999999959
10.517192182903882,380.38,46.95223229354424,5.688168140055945,1,3,-2.426476190476137
10.736973131182788,380.6,47.03467701427038,5.996358025211876,2,3,-2.257916666666574
10.966744122565213,380.83,46.96598313065075,6.314915853640477,3,3,-2.1399999999999864
11.136574855326183,381.0,46.92471853068139,6.654249382241921,3,2,-2.01385281385285
11.326385674294302,381.19,46.45449139112561,6.995963134938718,4,2,-1.9079545454545723
11.526186536366,381.39,45.852886985422835,7.319135923954182,3,1,-1.8193181818182893
11.73597744154133,381.6,45.11464986734421,7.624592300053986,3,0,-1.7450000000000045
11.965748432923755,381.83,45.214730024898856,7.890923341942665,3,-1,-1.6737499999999272
12.11559907947757,381.98,45.15756852287288,8.115310207666392,3,-1,-1.622352941176473
12.33538002775642,382.2,44.913820540121094,8.292031110710996,3,-2,-1.5910000000000082
12.52519084672454,382.39,44.92819526301759,8.396465780256538,3,-2,-1.580000000000041
12.73498175189987,382.6,44.71208917471142,8.44202981535199,3,-3,-1.5625
12.974742786385871,382.84,44.697644952343005,8.425818165268897,2,-3,-1.5643333333333658
13.14457351914684,383.01,44.49493349970148,8.332548230142093,2,-3,-1.573863636363626
13.33438433811496,383.2,44.62535371151192,8.189767491584893,1,-3,-1.6200000000000045
13.524195157083081,383.39,44.3350100061441,8.023098658979803,1,-3,-1.6552500000000236
13.743976105361988,383.61,44.203733162598425,7.834844691077652,1,-3,-1.7037500000000136
13.973747096744413,383.84,44.43684609438801,7.624691371964046,0,-3,-1.7908823529411393
14.14357782950538,384.01,44.49493349970148,7.400472785416233,-1,-2,-1.8509523809524353
14.3333886484735,384.2,44.65428425180294,7.17577051102745,-1,-1,-1.884999999999991
14.533189510545197,384.4,44.9425653882093,6.971197353493204,-1,-1,-1.9425000000001091
14.742980415720528,384.61,45.81061975844751,6.774267801236754,-1,0,-2.0049999999999955
14.9527713208958,384.82,45.866967405526076,6.587331847977796,-2,1,-2.074347826086864
15.122602053656768,384.99,45.55619287411617,6.436308868994876,-1,2,-2.1183986928105014
15.332392958832042,385.2,45.40000786658208,6.309326377875734,-1,3,-2.1585714285713493
15.53219382090374,385.4,45.923245914309256,6.2014777543019495,-1,4,-2.2100000000000364
15.741984726079068,385.61,46.34315632059497,6.1291953892931526,1,5,-2.265434782608736
15.95177563125434,385.82,46.86964255098541,6.086144941827187,0,5,-2.2749999999999773
16.131596407118884,386.0,46.77310353489187,6.089643755654525,0,5,-2.26452380952378
16.34138731229416,386.21,46.51005898442501,6.143668310624467,1,4,-2.2601136363635987
16.53119813126228,386.4,46.910955597834935,6.251735539808591,1,4,-2.201818181818112
16.7210089502304,386.59,47.00721150710249,6.449464239054908,1,3,-2.1577944862156073
16.950779941612883,386.82,47.56708474376381,6.7579428630661535,1,3,-2.0650000000000546
17.130600717477424,387.0,48.22767671182604,7.200976337122192,1,2,-1.9202631578947376
17.320411536445548,387.19,48.7205562575061,7.851681960242637,1,1,-1.7789097744361015
17.540192484724454,387.41,49.02444335143814,8.799885299523698,1,-1,-1.5368947368419867
17.730003303692573,387.6,49.35263314109171,10.18186425930371,1,-2,-1.2971739130433662
17.949784251971423,387.82,49.37879409344106,12.423325260802324,2,-2,-1.0150000000001
18.139595070939542,388.01,49.1165575390804,16.400042231645415,3,-3,-0.6869736842105567
18.329405889907665,388.2,48.56125155987255,24.74757741154411,4,-3,-0.36991341991347326
18.519216708875785,388.39,48.026419706198354,,5,-3,-0.0832683982683875
18.719017570947482,388.59,46.897188625976376,,6,-3,0.26184210526321294
18.948788562329963,388.82,45.48526617241576,,8,-3,0.5729166666667425
19.11861929509093,388.99,44.276712794858284,,9,-4,0.8064086687305689
