report_t_s,t,IAS_kmh,pitch,roll,GNSS_alt,GNSS_vz_ms,Glide_ratio_GNSS
0.17100786871257526,649.6,32.30317163931715,16,-4,496.84,-2.0040336134453827,5.8432308295947495
0.38100432939166845,649.81,31.287732322390365,16,-6,497.16,-2.0104511278195383,5.787860235926392
0.6310001159144905,650.06,29.217309047192956,15,-8,497.4,-1.9894522019333993,5.72914158572419
0.7709977563673708,650.2,28.659462589489834,14,-9,497.63,-1.967218045112775,5.666483529400292
0.9809942170464641,650.41,27.580182270638325,13,-10,497.82,-1.9315384615384557,5.598248507410295
1.190990677725671,650.62,26.627209595005,12,-8,497.93,-1.8916190476190309,5.526973820496915
1.3809874754829565,650.81,26.013879733240678,9,-6,497.95,-1.8438345864661707,5.450859264259428
1.6209834305448747,651.05,25.664013357864608,7,-2,497.87,-1.8040136054421834,5.371900583615338
1.7909805653804665,651.22,24.923671745256677,4,0,497.67,-1.7718796992481072,5.291263321396534
1.9609777002159445,651.39,24.68939704672053,1,3,497.41,-1.7445467032967,5.211591565086863
2.200973655277863,651.63,25.360286525452764,-2,2,496.99,-1.7258095238095328,5.134073069592077
2.3709707901133408,651.8,26.359102714591163,-4,2,496.5,-1.7308503401360522,5.058350432635145
2.6309664080970667,652.06,28.523956097087428,-6,3,495.9,-1.7514056881333804,4.986853498660993
2.7809638800108507,652.21,30.109811777992274,-6,4,495.28,-1.7796726190476388,4.918928581848051
2.9509610148463286,652.38,31.900874852055868,-8,4,494.55,-1.816255175983453,4.859922305635158
3.1709573069864394,652.6,33.9598070503641,-9,5,493.7,-1.866806722689083,4.811477382603946
3.360954104743725,652.79,34.98997669887414,-10,5,492.79,-1.9326353383458468,4.772510881885994
3.600950059805643,653.03,35.86486114996296,-9,4,491.9,-2.0196312209094054,4.74083056485811
3.770947194641235,653.2,35.990671623040754,-8,4,491.05,-2.088610812746172,4.715633382887575
3.9609439923985206,653.39,36.560292319534256,-8,4,490.25,-2.1576747252747412,4.696410953732934
4.170940453077727,653.6,37.086366726046045,-7,4,489.47,-2.227578231292536,4.684968270462159
4.360937250835013,653.79,37.67370483127835,-6,3,488.71,-2.3099033297529394,4.676652396142247
4.6209328688187385,654.05,38.57142857142857,-5,1,487.99,-2.39374149659862,4.672354444568282
4.770930340732523,654.2,39.28469966222244,-4,1,487.31,-2.4384210526315946,4.672188250637101
4.960927138489809,654.39,39.5631437949359,-3,-1,486.67,-2.485693581780538,4.672408155733992
5.170923599169016,654.6,39.481452310301506,-1,-3,486.08,-2.5291596638655442,4.6744240000615775
5.360920396926301,654.79,39.28469966222244,0,-3,485.6,-2.557920168067223,4.676235245376904
5.620916014910027,655.05,38.9214033374325,3,-4,485.15,-2.583308270676688,4.6755407926060615
5.770913486823811,655.2,38.57142857142857,3,-4,484.74,-2.588845643520553,4.6747527575524
5.980909947502904,655.41,37.929933389590545,5,-4,484.36,-2.574705651491359,4.6753382649898985
6.210906071103919,655.64,37.707969235660926,6,-3,484.01,-2.5581904761904752,4.677063882615889
6.370903374478493,655.8,37.55353321783261,8,-3,483.68,-2.530708283313345,4.679706324007947
6.6008994980795075,656.03,37.086366726046045,9,-2,483.39,-2.4875837320574306,4.683770038612646
6.7708966329150995,656.2,36.70131615000826,8,-1,483.1,-2.449007518796983,4.689913034600931
6.970893262133289,656.4,35.882861081409814,8,-1,482.79,-2.3998580586080527,4.699728846113631
7.180889722812496,656.61,35.0084264637728,8,0,482.5,-2.3493406593406285,4.714075362620904
7.370886520569781,656.8,34.092648378637115,8,0,482.23,-2.320733977801662,4.730313645724323
7.630882138553507,657.06,33.112603571844396,7,1,481.95,-2.282953813104208,4.7494395898016055
7.780879610467291,657.21,32.73998912270898,6,1,481.66,-2.256122448979584,4.772262607740188
7.970876408224576,657.4,32.223114089619784,5,1,481.38,-2.226340659340654,4.8003414249130065
8.180872868903784,657.61,32.04225327435571,4,1,481.04,-2.181142857142845,4.834002103308033
8.370869666661068,657.8,32.0220945725967,3,1,480.68,-2.1762368421052707,4.8707598777064165
8.600865790262084,658.03,32.18301063401911,2,1,480.28,-2.1558395989974963,4.91197181579241
8.770862925097676,658.2,32.203068604575876,1,0,479.86,-2.1460526315789497,4.958840835394676
8.970859554315865,658.4,32.363084837575066,0,0,479.41,-2.1410879120879094,5.009447065425936
9.160856352073264,658.59,32.72026029348589,-1,-1,478.95,-2.1347380952380814,5.066415509038345
