report_t_s,t,IAS_kmh,pitch,roll,GNSS_alt,GNSS_vz_ms
12.933136368720774,414.61,25.232654680887183,9,-3,972.29,-1.2407563025210007
13.123133166478116,414.8,24.871801404442756,7,-2,972.32,-1.1940601503759385
13.373128953000938,415.05,24.45287794505829,5,0,972.3,-1.1559183673469338
13.52312642491461,415.2,24.400006795750137,2,1,972.17,-1.1374436090225442
13.723123054132856,415.4,24.76773483335749,-3,2,971.94,-1.1140967908902764
13.943119346272965,415.62,24.793792425870286,-8,4,971.63,-1.0915714285714233
14.133116144030309,415.81,25.258232644556323,-10,6,971.23,-1.0781749829118163
14.383111930553131,416.06,26.310062481018587,-14,6,970.74,-1.0678660938059303
14.523109571005897,416.2,27.036327602026162,-16,7,970.14,-1.068506802721085
14.733106031685104,416.41,27.97536726245766,-19,6,969.43,-1.0730952380952528
14.93310266090335,416.61,29.742999948195664,-19,6,968.64,-1.082095238095251
