report_t_s,t,IAS_kmh,Glide_ratio_GNSS,pitch,roll,GNSS_vz_ms
0.015138000000092688,536.83,25.563172050943177,13.807328126126974,5,12,-0.3611904761904725
0.21513800000002448,537.03,25.15576474687263,14.092098671020818,7,12,-0.3720000000000141
0.43513800000005176,537.25,24.637033473357683,13.591375404451513,6,11,-0.3968749999999659
0.6151380000000017,537.43,24.053511772118192,12.517964111783026,7,10,-0.45787500000000136
0.8151380000000472,537.63,23.59272576841585,11.075292148965291,7,8,-0.5170789473684181
1.0251380000000836,537.84,23.010783851694136,9.629026223295394,6,6,-0.5842045454545541
1.2251380000000154,538.04,22.585932839820853,8.331797574106018,5,3,-0.6773564593300989
1.4651380000000245,538.28,22.413737701577173,7.27293932834116,4,1,-0.7641666666666538
1.6251380000001063,538.44,22.32714212590147,6.404750649751975,2,-1,-0.8695000000000164
1.8251380000000381,538.64,22.38490973118876,5.751858052472728,1,-2,-0.9598571428571745
2.0451380000000654,538.86,22.32714212590147,5.257820079323996,0,-4,-1.0647142857143308
2.2351380000000063,539.05,22.35604458735571,4.874739209987109,-1,-4,-1.1386553030303048
2.4651380000000245,539.28,22.35604458735571,4.614151574348007,-2,-5,-1.227647058823493
2.6151380000000017,539.43,22.64304022008006,4.444207405269072,-2,-5,-1.2756250000000477
2.815138000000047,539.63,22.98270478833497,4.350952600303754,-3,-6,-1.3245000000000005
3.0151380000000927,539.83,23.31742199230753,4.3159138842200635,-4,-6,-1.3693181818181301
3.2251380000000154,540.04,23.918907963434812,4.3483029907480315,-4,-5,-1.371052631578948
3.4451380000000427,540.26,24.160654893813604,4.427387712851593,-3,-5,-1.3562681159420436
3.6151380000000017,540.43,24.267324970513126,4.566815424387258,-4,-4,-1.3234374999999545
3.815138000000047,540.63,24.347020833551433,4.744940721162279,-3,-3,-1.2899999999999636
4.015138000000093,540.83,24.50563502460574,4.966249046829639,-3,-3,-1.2181818181817903
4.225138000000015,541.04,24.267324970513126,5.238445505941888,-2,-2,-1.150000000000034
4.4651380000000245,541.28,24.293919307228354,5.530850603051064,-1,0,-1.0569683257918996
4.625138000000106,541.44,24.107142857142858,5.850204917941703,1,0,-0.9829999999999472
4.815138000000047,541.63,23.972840180640475,6.178391508418112,1,1,-0.9150000000000205
5.0351380000000745,541.85,23.891896201047597,6.491724945261501,1,2,-0.8375952380952754
5.225138000000015,542.04,23.810677055403836,6.717432327534358,2,2,-0.8100000000000023
5.485138000000006,542.3,23.729179918232248,6.837855278775934,3,1,-0.7624632352940921
5.625138000000106,542.44,23.400353215544524,6.792078462191196,2,1,-0.744705882352946
5.815138000000047,542.63,23.15066832464132,6.554425227684095,2,1,-0.7599999999999909
6.025138000000084,542.84,23.094816208714146,6.158574239056632,4,1,-0.8259090909091356
6.225138000000015,543.04,23.03882869312197,5.624768136312779,8,0,-0.9020833333333371
6.4651380000000245,543.28,22.756825058313687,5.019177620553311,0,0,-1.013325791855209
6.635138000000097,543.45,21.77070618880296,4.348283868164087,-1,-1,-1.1649999999999636
6.815138000000047,543.63,19.683399718793392,3.6985282898726557,0,1,-1.3449999999999704
7.015138000000093,543.83,13.301473947787645,3.155868070625579,0,4,-1.5688095238095343
