report_t_s,t,IAS_kmh,pitch,roll
0.05748240822546336,703.45,33.788243638331735,-6,1
0.26727875760356873,703.66,34.31918009581492,-8,1
0.4570945022791218,703.85,34.87907316569578,-8,1
0.6469102469545613,704.04,35.882861081409814,-9,1
0.8866775033867791,704.28,36.41872240807927,-9,0
1.0565126433596663,704.45,36.507267937287466,-9,0
1.2463283880351057,704.64,37.312028891498244,-8,0
1.4561247374133248,704.85,38.285772587908696,-8,-1
1.6459404820887642,705.04,38.37000981314996,-7,-2
1.885707738520982,705.28,36.70131615000826,-6,-3
2.055542878493869,705.45,36.044455969295036,-5,-3
2.2553489255206416,705.65,36.63087210013334,-5,-4
2.4651452748988607,705.86,36.64849580675801,-4,-4
2.6549610195743,706.05,36.524951284382716,-3,-4
2.884737973655185,706.28,36.008608664584415,0,-5
3.064563415979405,706.46,35.46655150293308,1,-5
3.2543791606548447,706.65,35.08212849580137,3,-5
3.4441949053303977,706.84,34.525528487583486,4,-6
3.6639815570598357,707.06,33.807349234225654,5,-5
3.873777906438055,707.27,33.46177952194877,5,-5
4.053603348762275,707.45,33.807349234225654,5,-5
4.263399698140381,707.66,33.20996515677614,5,-5
4.443225140464601,707.84,33.05404896621932,4,-4
4.653021489842706,708.05,32.9953904480054,3,-3
4.872808141572258,708.27,32.81878584106415,2,-2
5.062623886247811,708.46,32.52231376850582,2,-2
5.25243963092325,708.65,32.9953904480054,0,-3
5.4722262826528025,708.87,33.519621880629984,0,-2
5.6620420273282415,709.06,33.345793802003186,-1,-4
5.891818981409126,709.29,33.24882996253478,0,-5
6.051663819030681,709.45,33.132098777284774,0,-5
6.261460168408786,709.66,32.8777594480909,2,-3
6.45127591308434,709.85,33.03450769997325,4,-1
6.651081960111112,710.05,32.68076690517229,4,2
6.900839518894663,710.3,32.30317163931715,3,5
7.060684356516217,710.46,32.10265342838279,3,8
7.2505001011916566,710.65,31.677433946400573,3,10
7.450306148218542,710.85,30.49339172305223,3,11
7.640121892893982,711.04,30.38732743048238,4,13
7.869898846974866,711.27,31.513936421455032,4,14
8.049724289299087,711.45,32.42288732437288,3,15
8.239540033974526,711.64,32.89739382395151,3,15
8.449336383352746,711.85,32.60163660284056,3,15
8.649142430379518,712.05,32.83845547773624,2,15
8.898899989163068,712.3,32.402965425518495,2,15
9.058744826784622,712.46,32.34312610312195,2,14
9.23857026910873,712.64,31.81980515339464,2,13
9.448366618486949,712.85,31.921110106137654,2,13
9.648172665513721,713.05,32.0220945725967,1,12
9.877949619594606,713.28,31.96154218074322,0,10
10.047784759567492,713.45,32.001923172439085,0,10
10.237600504242932,713.64,33.22940324164607,-1,9
10.457387155972484,713.86,34.03577986802256,-2,9
10.647202900647923,714.05,34.24383603106475,-1,8
10.88697015708014,714.29,34.54422631104323,-1,6
11.056805297053028,714.46,34.78638346378933,0,5
11.2566113440798,714.66,35.06371751132908,1,5
11.446427088755353,714.85,34.98997669887414,1,5
11.646233135782126,715.05,34.80494115167311,3,6
11.895990694565677,715.3,34.5629140193677,3,6
12.055835532187231,715.46,34.48810242944186,3,7
12.255641579214004,715.66,34.31918009581492,3,7
12.45544762624089,715.86,33.807349234225654,4,7
12.645263370916329,716.05,33.50035219126473,4,8
12.89502092969988,716.3,33.24882996253478,5,9
13.0448754649701,716.45,33.09309688174393,5,9
13.244681511996873,716.65,33.32642360356241,6,10
13.434497256672426,716.84,33.3651527550429,6,11
13.634303303699198,717.04,32.85811333970497,5,12
13.88406086248275,717.29,32.68076690517229,6,13
14.043905700104304,717.45,32.56199934003451,6,14
14.25370204948241,717.66,31.697811841043602,5,14
14.443517794157962,717.85,31.24642836732361,4,15
14.633333538833401,718.04,31.431868739369914,3,14
14.893081399968287,718.3,31.758867072915276,2,13
15.042935935238507,718.45,31.779192749922625,2,12
15.252732284616613,718.66,32.223114089619784,1,12
15.442548029292166,718.85,32.54216260390166,0,11
15.662334681021717,719.07,32.56199934003451,0,10
15.9220825421566,719.33,32.956226766015874,-1,9
16.051956472724044,719.46,33.09309688174393,-1,9
16.26175282210215,719.67,32.08253267840967,-1,8
16.471549171480365,719.88,32.34312610312195,-1,8
16.64138431145314,720.05,32.73998912270898,-1,8
16.89114187023669,720.3,33.171054815170116,0,9
17.040996405506913,720.45,33.24882996253478,1,9
17.260783057236353,720.67,34.22497409846816,1,9
17.450598801911905,720.86,34.63756402861977,1,10
17.650404848938678,721.06,34.78638346378933,2,10
17.900162407722227,721.31,33.9217568344373,3,9
18.040026640641116,721.45,33.20996515677614,3,10
18.249822990019222,721.66,31.22575590170161,4,13
18.45961933939744,721.87,31.08066365220061,4,13
18.64943508407288,722.06,31.697811841043602,4,13
18.89919264285643,722.31,31.59579093964955,5,12
19.049047178126653,722.46,31.677433946400573,4,12
19.23886292280209,722.65,32.122761575314314,5,13
19.428678667477644,722.84,31.718176643556244,4,12
19.63847501685575,723.05,31.799505435122217,3,12
19.878242273287967,723.29,32.243147112437484,1,12
20.02809680855819,723.44,32.122761575314314,2,12
20.237893157936295,723.65,33.75,1,12
20.43769920496318,723.85,34.674828766700486,2,11
20.647495554341287,724.06,35.21073583961782,1,10
20.87727250842217,724.29,34.82348895003287,0,9
21.027127043692392,724.44,34.45063571286324,-1,10
21.236923393070498,724.65,34.18721901350782,-2,9
21.436729440097384,724.85,34.63756402861977,-2,9
21.636535487124156,725.05,35.26570969954022,-3,8
21.876302743556373,725.29,34.18721901350782,-3,8
22.04613788352926,725.46,33.654200771847734,-1,9
22.2359536282047,725.65,32.85811333970497,-1,9
22.435759675231587,725.85,33.171054815170116,-2,10
22.63556572225836,726.05,33.57736459678315,-1,10
22.875332978690576,726.29,33.788243638331735,-1,9
23.04516811866346,726.46,33.9598070503641,-1,9
23.234983863338904,726.65,35.17403886681314,0,9
23.424799608014457,726.84,36.258795555037956,0,9
23.634595957392563,727.05,37.24274001296722,0,9
23.884353516176112,727.3,38.15060615507963,1,9
24.034208051446335,727.45,39.16947087949481,0,9
24.224023796121774,727.64,38.6550432990183,1,9
24.42382984314866,727.84,37.2947187403038,1,9
24.633626192526766,728.05,36.40098745576968,1,9
24.86340314660765,728.28,36.61323991037523,2,8
25.033238286580534,728.45,37.329331015725856,2,7
25.233044333607307,728.65,37.501913216500824,3,7
25.422860078282863,728.84,37.10377408054884,3,7
25.632656427660965,729.05,36.11604383717823,4,8
25.86243338174185,729.28,35.21073583961782,4,9
26.032268521714737,729.45,34.413128205049055,5,10
26.23207456874151,729.65,33.807349234225654,5,11
26.421890313417066,729.84,33.9598070503641,5,11
26.6416769651465,730.06,33.05404896621932,5,12
26.85147331452472,730.27,33.03450769997325,5,13
27.03129875684894,730.45,32.85811333970497,5,13
27.241095106227046,730.66,32.64122573291234,4,13
27.4309108509026,730.85,33.38450048224444,2,13
27.63071689792937,731.05,33.5388804986398,1,13
27.860493852010258,731.28,33.9788161797846,0,12
28.030328991983144,731.45,34.31918009581492,-1,11
28.24012534136125,731.66,33.57736459678315,-1,10
28.439931388388136,731.86,33.788243638331735,-2,9
28.629747133063574,732.05,33.38450048224444,-3,7
28.85952408714446,732.28,32.83845547773624,-4,6
29.03934952946868,732.46,32.936627462013,-4,5
29.22916527414412,732.65,32.581823999003504,-4,4
29.43896162352234,732.86,31.880626754267208,-3,3
29.63876767054911,733.06,31.24642836732361,-2,2
29.84856401992733,733.27,30.38732743048238,-2,2
30.038379764602883,733.46,30.23821241072161,-1,2
30.228195509278322,733.65,29.764702249476642,0,2
30.418011253953875,733.84,29.612452134677596,2,3
30.637797905683314,734.06,29.195199843082953,2,3
30.8675748597642,734.29,28.726976140263446,1,4
31.037409999737086,734.46,28.296669956237693,1,4
31.23721604676386,734.66,28.523956097087428,1,4
31.42703179143941,734.85,28.86152945796638,1,4
31.61684753611485,735.04,28.816748159530352,1,5
31.85661479254707,735.28,28.950884252118993,0,6
32.02644993251996,735.45,29.195199843082953,0,7
32.216265677195395,735.64,29.8297144177563,0,7
32.42606202657362,735.85,29.808059449807615,-1,7
32.63585837595172,736.06,30.683383540773406,-3,7
32.8656353300326,736.29,31.122187603452453,-4,7
33.02548016765416,736.45,31.493439550069425,-4,7
33.2152959123296,736.64,31.73852837913991,-4,6
33.43508256405915,736.86,31.900874852055868,-3,5
33.64487891343737,737.07,31.73852837913991,-2,5
33.87465586751814,737.3,31.73852837913991,-1,6
34.03450070513969,737.46,31.840091929541167,0,6
34.224316449815134,737.65,31.96154218074322,1,8
34.43411279919335,737.86,32.06239930166786,2,10
34.62392854386879,738.05,32.14285714285714,2,12
34.86369580030101,738.29,32.502452811680385,2,15
35.01355033557123,738.44,32.48257971119101,2,17
35.21335638259801,738.64,32.46269444473524,2,19
35.423152731976224,738.85,32.243147112437484,1,23
35.612968476651666,739.04,32.001923172439085,0,25
35.85273573308388,739.28,32.0220945725967,-1,28
36.022570873056765,739.45,32.402965425518495,-3,31
36.21238661773221,739.64,33.32642360356241,-4,33
36.4121926647591,739.84,34.50682053254553,-6,33
36.611998711785866,740.04,35.502946126673336,-8,34
36.84177566586675,740.27,36.57795003238192,-9,35
37.031591410542305,740.46,37.39845946570745,-10,35
37.231397457569074,740.66,37.77640480781729,-10,36
37.42121320224463,740.85,38.3868350758806,-9,37
37.6210192492714,741.05,40.35496991621695,-9,38
