report_t_s,t,IAS_kmh,pitch,roll,GNSS_vz_ms
0.11969024457869337,610.15,26.13769709028845,-4,5,-1.3700000000000045
0.30950092952183667,610.34,26.383588649006786,-4,4,-1.3609523809523694
0.529281722613748,610.56,26.408051879713366,-3,4,-1.343695652173892
0.7590525517553999,610.79,26.383588649006786,-3,3,-1.317222222222199
0.9089030925000345,610.94,26.260930668806022,-3,3,-1.3083680555555475
1.1186938495423187,611.15,26.162390243731668,-3,2,-1.264523809523837
1.3284846065847162,611.36,26.013879733240678,-2,2,-1.227727272727293
1.5282853275773731,611.56,25.989045474851082,-1,2,-1.2045999999999708
1.7580561567190252,611.79,25.739385071861193,0,3,-1.1754000000000246
1.917896733513287,611.95,25.411159769210187,0,4,-1.1638095238095616
2.127687490555571,612.16,25.20705076289698,1,5,-1.1814285714285688
2.3274882115483417,612.36,24.637033473357683,1,7,-1.2100000000000364
2.517298896491371,612.55,24.610809907146784,1,9,-1.2709999999999582
2.7670497977322777,612.8,24.267324970513126,1,11,-1.3428125000000364
2.9169003384769123,612.95,24.21404867140612,1,13,-1.4271875000000023
3.116701059469569,613.15,24.5582787695402,0,14,-1.5454761904761654
3.326491816511967,613.36,24.975434359157227,0,16,-1.6495454545454322
3.5163025014549967,613.55,25.181420811416352,-1,16,-1.7592105263157691
3.7660534026959027,613.8,26.063477261078873,-1,16,-1.8600000000000136
3.925893979490165,613.96,26.285508054315198,-2,16,-1.947999999999979
4.115704664433195,614.15,26.748187998899844,-2,16,-2.0035714285714334
4.335485457525219,614.37,27.486371855068505,-2,15,-2.021503759398513
4.525296142468249,614.56,27.998439734224842,-3,13,-1.9968000000000075
4.765057007659528,614.8,28.636922701937348,-3,12,-1.9449999999999932
4.914907548404162,614.95,28.681984763959413,-3,11,-1.8828125
5.104718233347192,615.14,28.501309046198887,-3,10,-1.7813157894736946
5.31450899038959,615.35,28.591789619984777,-2,9,-1.6609090909090582
5.524299747431874,615.56,28.771897162448816,-1,8,-1.5380434782608745
5.764060612623154,615.8,28.771897162448816,-1,7,-1.408333333333303
5.913911153367788,615.95,28.614365059443518,0,6,-1.265833333333319
6.103721838310817,616.14,28.478643985718595,1,6,-1.14157894736843
6.313512595353215,616.35,27.743587234765823,2,5,-1.0381818181817835
6.513313316345872,616.55,27.46286918137778,3,5,-0.9446753246753588
6.743084145487524,616.78,26.868621692090066,4,5,-0.8790064102564088
6.92290479438104,616.96,26.211706762982285,4,5,-0.8092807017544033
7.11271547932407,617.15,25.436558236089233,4,6,-0.7902380952381236
7.3025261642672135,617.34,25.10437395827139,5,6,-0.7861904761904839
7.522306957359125,617.56,24.68939704672053,5,6,-0.786956521739171
7.7820478946497715,617.82,24.37352821302284,4,6,-0.8110000000000355
7.9318984353942925,617.97,24.187366516005657,4,6,-0.8615789473684572
8.121709120337323,618.16,23.756376694973273,4,6,-0.8913157894737083
8.33149987737972,618.37,23.51047313302681,3,6,-0.9517045454546178
8.52131056232275,618.56,23.345098467322423,2,6,-1.009999999999991
8.771061463563656,618.81,23.122759130257755,1,6,-1.0582692307692696
8.92091200430829,618.96,23.206386018525507,1,6,-1.1246666666666556
9.130702761350575,619.17,23.537922614802017,0,6,-1.1769047619047228
9.320513446293718,619.36,23.647401915367755,-1,5,-1.2130952380952067
9.520314167286376,619.56,23.83778085137892,-2,5,-1.2606250000000045
