report_t_s,t,IAS_kmh,Glide_ratio_GNSS,pitch
0.21000000000000796,108.81,23.864853865045976,7.652062339378,3
0.3400000000000034,108.94,24.45287794505829,7.323858675481028,2
0.5600000000000023,109.16,24.663229156965222,6.9965813523903755,-1
0.7600000000000051,109.36,24.897750082761963,6.667528241495273,-2
0.960000000000008,109.56,24.71553723090487,6.353658138003151,-3
1.2000000000000028,109.8,25.48727924006845,6.049742568346188,-3
1.3400000000000034,109.94,25.30931102360939,5.759229095854726,-3
1.5600000000000023,110.16,25.283784732673293,5.477744029463979,-3
1.75,110.35,24.871801404442756,5.207176203971763,-3
1.9500000000000028,110.55,24.845825625654065,4.9514621989849585,-3
2.200000000000003,110.8,25.360286525452764,4.70721906238157,-2
2.3500000000000085,110.95,25.71428571428571,4.473351252451769,-2
2.5500000000000114,111.15,26.627209595005,4.249582596171754,-2
2.75,111.35,26.408051879713366,4.035020725531365,-2
2.940000000000012,111.54,26.724036131221965,3.8314094809167765,-1
3.190000000000012,111.79,26.651449208213034,3.6387212932582154,0
3.3500000000000085,111.95,26.748187998899844,3.458520863092062,1
3.5500000000000114,112.15,26.260930668806022,3.2872571290558676,3
3.75,112.35,25.964187462969928,3.123212039536095,4
3.950000000000003,112.55,25.63884021462399,2.96571487754219,4
4.190000000000012,112.79,24.76773483335749,2.816447816926486,4
4.340000000000003,112.94,24.53197101826138,2.673548778993366,3
4.560000000000002,113.16,23.482991565325374,2.536324506180589,2
4.740000000000009,113.34,23.289712627804455,2.404157377085601,2
4.960000000000008,113.56,22.95459137745916,2.2768506547160725,2
5.200000000000003,113.8,20.76886283033585,2.15525939507018,3
5.359999999999999,113.96,18.28897501619096,2.039707003433474,3
5.550000000000011,114.15,13.778379803155376,1.9314599618218624,3
5.760000000000005,114.36,10.959253149363635,1.8312784269857996,5
5.969999999999999,114.57,9.642857142857142,1.7389639294262562,4
6.180000000000007,114.78,8.65472915432331,1.6540375479299578,5
6.3500000000000085,114.95,8.350959250778514,1.57737877095805,5
6.570000000000007,115.17,8.350959250778514,1.510257273233003,5
6.75,115.35,7.95495128834866,1.4538100154668103,5
6.950000000000003,115.55,7.707586376752584,1.4062190696755787,6
7.180000000000007,115.78,8.035714285714285,1.3678966285731362,7
7.3500000000000085,115.95,7.790914056561957,1.3375297866819649,6
7.550000000000011,116.15,8.035714285714285,1.31355232071526,4
7.740000000000009,116.34,8.57979502395373,1.2979374609199978,3
7.950000000000003,116.55,7.276648771717565,1.2873192019719861,0
8.180000000000007,116.78,7.096950696156305,1.2851150430105625,-1
8.350000000000009,116.95,6.91258280387354,1.290221001064184,-2
8.550000000000011,117.15,7.276648771717565,1.3046835762183038,-1
8.760000000000005,117.36,7.873359887517356,1.33096424609274,-2
8.940000000000012,117.54,8.729020037571601,1.3648846548778073,-2
9.180000000000007,117.78,7.707586376752584,1.4087202595554056,-4
9.350000000000009,117.95,7.187361356249323,1.463968610157922,-5
9.560000000000002,118.16,7.364853795464743,1.5293875099477499,-7
9.75,118.35,7.096950696156305,1.6048319861481974,-9
9.960000000000008,118.56,6.528245146582468,1.6897238353148627,-11
10.180000000000007,118.78,7.95495128834866,1.7823538280447684,-14
10.350000000000009,118.95,8.350959250778514,1.881639413321143,-17
10.560000000000002,119.16,7.452014862451904,1.986125039673734,-22
10.75,119.35,7.452014862451904,2.0961336943998474,-24
10.960000000000008,119.56,8.65472915432331,2.211839895372292,-28
11.180000000000007,119.78,20.105350719423434,2.3327172251762947,-26
11.350000000000009,119.95,27.202999628267285,2.4614351069096774,-24
11.550000000000011,120.15,32.28317586417964,2.6002262496428954,-23
11.760000000000005,120.36,37.36391122788001,2.7526158706483805,-20
11.940000000000012,120.54,39.98524919343662,2.920218956784246,-20
12.180000000000007,120.78,44.79865670817756,3.1072048433598285,-23
12.36,120.96,47.810811794925584,3.318349262722588,-17
12.560000000000002,121.16,49.16911673821614,3.558219431777878,-12
12.760000000000005,121.36,49.795500165523926,3.831877795081254,-6
12.960000000000008,121.56,49.92500753681485,4.14277423065283,-1
13.200000000000003,121.8,51.22728466235109,4.498567425583344,5
13.36,121.96,51.84125715950135,4.904856292723824,8
13.560000000000002,122.16,51.81633946656485,5.36417259391219,11
13.760000000000005,122.36,49.665655094022135,5.877752965017711,14
13.950000000000003,122.55,47.444751704332,6.457133901646796,17
14.180000000000007,122.78,43.80754233355396,7.106193028742704,20
14.36,122.96,40.974263948513446,7.8341465359976326,21
14.550000000000011,123.15,38.90480926149708,8.6418415072518,21
14.75,123.35,36.85932302522051,9.516577436543518,20
14.950000000000003,123.55,34.05474658995604,10.495129009400921,19
