report_t_s,t,IAS_kmh,pitch,roll,GNSS_alt,GNSS_vz_ms
0.18680016647808315,414.8,24.871801404442756,7,-2,972.32,-1.1940601503759385
0.4367959530009052,415.05,24.45287794505829,5,0,972.3,-1.1559183673469338
0.5867934249145756,415.2,24.400006795750137,2,1,972.17,-1.1374436090225442
0.7867900541328219,415.4,24.76773483335749,-3,2,971.94,-1.1140967908902764
1.0067863462729325,415.62,24.793792425870286,-8,4,971.63,-1.0915714285714233
1.196783144030275,415.81,25.258232644556323,-10,6,971.23,-1.0781749829118163
1.446778930553097,416.06,26.310062481018587,-14,6,970.74,-1.0678660938059303
1.5867765710058637,416.2,27.036327602026162,-16,7,970.14,-1.068506802721085
1.7967730316850705,416.41,27.97536726245766,-19,6,969.43,-1.0730952380952528
1.9967696609033168,416.61,29.742999948195664,-19,6,968.64,-1.082095238095251
2.186766458660659,416.8,31.30836386589346,-18,5,967.81,-1.1219548872180505
2.446762076644385,417.06,33.151582518326144,-18,3,966.94,-1.1793662728249177
2.576759885636248,417.19,33.788243638331735,-18,2,966.05,-1.2179699248120284
2.786756346315398,417.4,34.78638346378933,-16,1,965.22,-1.28233058608058
2.986752975533701,417.6,35.10052982331678,-14,0,964.46,-1.3501064425770275
3.1767497732910437,417.79,35.702453397090636,-11,-1,963.75,-1.437894736842119
3.406745896892001,418.02,36.22316036652207,-8,-2,963.15,-1.5351632653061285
3.58674286318844,418.2,36.6661110424816,-6,-3,962.63,-1.6089688506981799
3.776739660945782,418.39,36.929331299173036,-3,-3,962.2,-1.6837928571428458
3.9867361216249892,418.6,37.15594721259715,0,-3,961.87,-1.7665826330532224
4.1767329193823315,418.79,37.26007431225952,3,-3,961.62,-1.8385977443609005
4.416728874444193,419.03,37.10377408054884,6,-3,961.51,-1.9038311688311589
4.56672634635792,419.18,36.64849580675801,8,-2,961.5,-1.924941900205064
4.786722638497974,419.4,35.39364998391199,10,0,961.6,-1.9341788819875774
4.976719436255316,419.59,34.48810242944186,13,3,961.81,-1.933686224489796
5.1867158969345235,419.8,33.32642360356241,15,7,962.06,-1.8854421768707457
5.4267118519964415,420.04,31.718176643556244,16,12,962.34,-1.8179210526315697
5.576709323910112,420.19,30.577978270350716,16,16,962.58,-1.758238453276054
5.796705616050223,420.41,29.349614519597687,15,21,962.76,-1.6703427524855994
5.986702413807565,420.6,28.2509933002183,14,25,962.8,-1.5826251526251391
6.176699211564908,420.79,27.95227574613121,11,28,962.71,-1.4565986394557708
6.416695166626769,421.03,27.998439734224842,8,31,962.52,-1.3436390977443742
6.586692301462304,421.2,28.2281272557594,6,32,962.23,-1.2680451127819683
6.776689099219646,421.39,28.726976140263446,3,32,961.8,-1.2027950310559032
6.976685728437893,421.59,28.97317989212134,1,31,961.34,-1.1511951447245596
7.186682189117099,421.8,29.786388738509952,-1,28,960.77,-1.1092481203007603
7.426678144179018,422.04,30.451010338119236,-3,24,960.12,-1.094183673469388
7.596675279014495,422.21,31.163656226247827,-4,21,959.47,-1.1028571428571305
7.786672076771838,422.4,31.799505435122217,-6,18,958.82,-1.1335459183673362
7.976668874529181,422.59,32.402965425518495,-6,15,958.25,-1.1828120300751834
8.196665166669291,422.81,33.22940324164607,-6,12,957.71,-1.266155844155849
8.426661290270307,423.04,33.86460134845523,-5,9,957.21,-1.3775939849624268
8.58665859364488,423.2,34.130508077563874,-4,8,956.78,-1.4611564625850275
8.796655054324088,423.41,34.860554941313346,-2,7,956.41,-1.5626190476190394
8.98665185208143,423.6,34.78638346378933,0,7,956.09,-1.657579831932789
9.19664831276058,423.81,34.74923835606373,3,7,955.84,-1.7638755980861203
9.40664477343973,424.02,34.69344612576895,5,9,955.65,-1.836814764183178
9.586641739736168,424.2,34.092648378637115,7,10,955.51,-1.876992481202998
9.796638200415375,424.41,33.20996515677614,9,13,955.39,-1.9005900621118113
9.986634998172718,424.6,32.75970607067064,11,15,955.28,-1.9050840336134505
10.186631627390964,424.8,31.96154218074322,12,18,955.14,-1.8818868600071548
10.416627750991921,425.03,31.287732322390365,13,21,954.96,-1.832095238095235
10.586624885827456,425.2,30.683383540773406,13,24,954.76,-1.7854672395273903
10.776621683584798,425.39,30.216850195119374,12,26,954.53,-1.7255214285714504
10.99661797572491,425.61,29.808059449807615,11,28,954.2,-1.6386218487395061
11.186614773482251,425.8,29.742999948195664,10,28,953.83,-1.5432330827067549
11.396611234161401,426.01,30.002391486312543,9,28,953.42,-1.4510204081632634
11.586608031918745,426.2,30.344797910088005,8,28,952.96,-1.3825974025973957
11.786604661136991,426.4,31.328981822600237,7,27,952.48,-1.3219136350192326
11.976601458894333,426.59,32.10265342838279,5,25,951.98,-1.2646691176470637
12.18659791957354,426.8,32.72026029348589,4,23,951.47,-1.199115646258487
12.416594043174497,427.03,32.79910440850482,3,21,951.01,-1.1387468671679244
12.586591178010032,427.2,32.700519561496826,3,20,950.58,-1.1001360544217798
12.776587975767375,427.39,33.307042140100776,2,18,950.15,-1.066554273883477
12.996584267907485,427.61,33.32642360356241,2,16,949.77,-1.0391596638655431
13.186581065664829,427.8,33.26824533935001,2,14,949.44,-1.0270247046186927
13.416577189265785,428.03,33.112603571844396,3,12,949.17,-1.0200751879699348
13.576574492640416,428.19,32.68076690517229,3,11,948.93,-1.0143082706766953
13.786570953319567,428.4,32.243147112437484,2,9,948.74,-1.0045936853002135
13.996567413998774,428.61,32.06239930166786,3,7,948.6,-0.9918487394958058
14.186564211756115,428.8,29.91617753944224,3,5,948.48,-0.9752631578947363
14.436559998278938,429.05,28.182339509062793,4,3,948.39,-0.9545112781954848
14.586557470192608,429.2,28.950884252118993,4,1,948.37,-0.9393779904306224
14.776554267949951,429.39,29.54696192815216,4,0,948.35,-0.9169551020408205
14.986550728629158,429.6,29.239401533561118,5,-2,948.32,-0.8949436090225618
15.20654702076921,429.82,29.128771543486916,5,-3,948.28,-0.8926165413533909
15.416543481448361,430.03,29.937754302102572,6,-4,948.23,-0.8970461868957987
15.586540616283896,430.2,30.28089163084838,6,-4,948.21,-0.9116111707840966
15.776537414041238,430.39,30.19547286651847,6,-4,948.21,-0.9326923076923127
15.986533874720445,430.6,29.69954777021195,6,-5,948.25,-0.9588963585434352
16.18653050393869,430.8,29.56880811370837,5,-5,948.29,-1.0064446831364162
16.41652662753965,431.03,29.43748781359425,3,-4,948.32,-1.0570334928229548
16.586523762375183,431.2,29.06219140718324,3,-4,948.29,-1.1070676691729204
16.77652056013253,431.39,28.74944542499729,3,-3,948.24,-1.1606211180124189
16.986517020811732,431.6,28.704489267040316,2,-2,948.15,-1.2259523809523867
17.176513818569077,431.79,28.726976140263446,4,-1,948.08,-1.3101360544217673
17.41650977363094,432.03,29.28353650439239,2,0,947.97,-1.404761904761894
17.586506908466472,432.2,29.217309047192956,1,0,947.87,-1.473684210526309
17.776503706223814,432.39,29.128771543486916,3,2,947.76,-1.5415428571428396
