report_t_s,t,pitch,roll,GNSS_alt,GNSS_velD,IAS_kmh
11.450000000000017,190.55,-18,19,899.67,-6.42,7.790914056561957
11.680000000000007,190.78,-14,19,898.36,-6.47,6.7231609275059645
11.849999999999994,190.95,-16,18,897.02,-6.57,6.528245146582468
12.060000000000002,191.16,-15,12,895.65,-6.72,5.905019915638019
12.27000000000001,191.37,-14,4,894.27,-6.79,5.450086593582804
12.460000000000008,191.56,-13,2,892.9,-6.83,9.841699859396696
12.670000000000016,191.77,-13,7,891.46,-7.0,21.651739690672734
12.849999999999994,191.95,-11,17,889.8,-7.54,26.699862416522382
13.050000000000011,192.15,-11,20,887.99,-8.14,30.976610251172758
13.25,192.35,-12,26,886.03,-8.78,35.17403886681314
13.450000000000017,192.55,-13,26,883.79,-9.67,39.30113333776333
13.689999999999998,192.79,-16,14,881.48,-10.34,42.898975119768664
13.849999999999994,192.95,-16,7,879.24,-10.65,44.43684609438801
14.050000000000011,193.15,-15,1,877.08,-10.69,47.144379033876305
14.25,193.35,-9,0,875.09,-10.42,48.36138275356418
14.450000000000017,193.55,-6,-2,873.24,-9.99,49.82142857142856
14.689999999999998,193.79,-1,-3,871.67,-9.24,51.69157083024232
14.900000000000006,194.0,4,-4,870.54,-8.02,52.669188026273375
15.060000000000002,194.16,8,-6,869.92,-6.35,52.65692654594745
15.26000000000002,194.36,12,-9,869.54,-4.76,52.17648133097548
15.480000000000018,194.58,16,-12,869.53,-2.99,50.669623190682145
15.740000000000009,194.84,19,-15,869.73,-1.4,48.29457600423231
15.860000000000014,194.96,19,-16,870.18,0.13,47.29480383073551
16.05000000000001,195.15,20,-18,870.77,1.37,45.08601473283923
16.26000000000002,195.36,21,-19,871.44,2.25,42.98919388423475
16.47,195.57,22,-21,872.15,2.83,40.35496991621695
16.700000000000017,195.8,23,-21,872.88,3.2,38.18444261951803
16.870000000000005,195.97,22,-21,873.58,3.35,35.66626235545524
17.05000000000001,196.15,22,-21,874.23,3.3,33.57736459678315
17.27000000000001,196.37,21,-20,874.78,3.08,30.216850195119374
17.450000000000017,196.55,20,-18,875.25,2.78,28.159417716324477
17.689999999999998,196.79,17,-15,875.6,2.36,25.46193136782031
17.849999999999994,196.95,16,-13,875.87,1.96,23.972840180640475
18.05000000000001,197.15,13,-10,875.94,1.34,22.557324933672106
18.24000000000001,197.34,10,-6,875.89,0.73,21.411823812547865
18.460000000000008,197.56,5,-3,875.74,0.19,20.861927655665095
18.700000000000017,197.8,1,1,875.54,-0.28,21.321159366570427
18.860000000000014,197.96,-3,3,875.28,-0.65,21.8299463151527
19.05000000000001,198.15,-7,6,874.95,-1.04,22.52868069997958
19.25,198.35,-11,7,874.5,-1.48,23.37274216968587
19.450000000000017,198.55,-15,8,873.94,-1.95,24.53197101826138
