report_t_s,t,IAS_kmh,pitch,roll,GNSS_alt,GNSS_vz_ms,Glide_ratio_GNSS
0.03464344099320286,618.06,35.26570969954022,3,6,573.85,-1.6759999999999309,6.4221286461062785
0.1946407443678908,618.22,35.28401528587524,3,7,573.53,-1.544480519480544,6.682969929875157
0.3846375421251764,618.41,35.41188943371005,4,6,573.24,-1.4445454545454481,6.98309904909711
0.5846341713434795,618.61,35.137303568156966,5,6,572.94,-1.3010606060606165,7.338276142207915
0.7946306320226864,618.82,34.730650904422994,5,5,572.68,-1.1917583333333255,7.736696204667493
1.024626755623587,619.05,34.48810242944186,5,5,572.47,-1.1172000000000253,8.16842996068636
1.1746242275373713,619.2,33.86460134845523,5,6,572.29,-1.0749999999999886,8.57981226856208
1.3846206882164644,619.41,33.61580463752983,5,6,572.11,-1.009999999999991,8.920765119329918
1.5746174859738638,619.6,33.76912723304576,5,7,571.96,-0.9875000000000114,9.149129555992209
1.784613946652957,619.81,32.52231376850582,5,8,571.82,-0.975508658008664,9.275107778105149
2.024609901714875,620.05,32.28317586417964,5,8,571.63,-0.998888888888871,9.279858970079434
2.1746073736286595,620.2,33.112603571844396,5,8,571.42,-1.0130555555555247,9.23244698368063
2.3846038343077525,620.41,33.5388804986398,5,7,571.22,-1.0545454545454618,9.18758735629911
2.574600632065152,620.6,33.71171297689772,5,5,570.98,-1.0659090909091447,9.114972000796117
2.7945969242052624,620.82,34.073702754290665,4,4,570.73,-1.0947916666666515,9.093348937396822
3.004593384884356,621.03,33.99781468067065,3,1,570.5,-1.0904166666666697,9.12366888367691
3.184590351180851,621.21,33.84552807104896,4,-1,570.25,-1.0483333333332894,9.234147928948783
3.374587148938137,621.4,33.44247650360059,5,-2,570.01,-1.0166666666666515,9.394870466165777
3.5945834410782473,621.62,32.79910440850482,6,-4,569.81,-0.9329220779220577,9.656500401513185
3.784580238835533,621.81,31.779192749922625,6,-6,569.63,-0.8656818181818835,9.91787866315709
4.024576193897452,622.05,29.721281800028997,7,-7,569.45,-0.789361111111134,10.211039657535334
4.174573665811235,622.2,28.410540315530927,8,-7,569.32,-0.7264444444444962,10.467016582480955
4.3845701264903285,622.41,27.13169413307271,9,-7,569.19,-0.679264069264093,10.601448317274215
4.574566924247728,622.6,26.383588649006786,9,-6,569.1,-0.6652813852813324,10.562522989303632
4.784563384926821,622.81,25.360286525452764,9,-6,569.01,-0.6695833333333212,10.25138725356897
4.994559845606028,623.02,24.663229156965222,9,-5,568.91,-0.6870833333333053,9.674727438297639
5.194556474824331,623.22,24.053511772118192,9,-4,568.8,-0.7411779448621587,8.914163412526149
5.374553441120713,623.4,23.565340122774398,8,-3,568.65,-0.8180952380952817,8.011210824261969
5.58454990179992,623.61,22.785182483717936,7,-2,568.49,-0.9228571428571399,7.113776711112896
5.774546699557205,623.8,22.03603264414621,6,-1,568.3,-1.0571428571428783,6.277446555931902
6.014542654619124,624.04,21.741025593967528,5,0,568.08,-1.1819000000000415,5.558987140600258
6.184539789454715,624.21,21.472054096961873,4,0,567.84,-1.3540657894736228,4.944404006106743
6.374536587212001,624.4,21.260501606769033,2,1,567.56,-1.4912499999999227,4.440050334335546
6.584533047891208,624.61,21.711304424099403,1,1,567.25,-1.6464285714285438,4.046031246645662
6.774529845648494,624.8,22.094561386394226,0,0,566.9,-1.7549999999999955,3.735481491595688
7.024525632171315,625.05,22.70000393329104,-2,-1,566.52,-1.9011764705882115,3.50086435575288
7.174523104085099,625.2,22.756825058313687,-3,-1,566.12,-2.0070588235294053,3.333084530492671
7.364519901842385,625.39,22.898261006959828,-3,-2,565.69,-2.0858684210525666,3.2237445312236415
7.564516531060688,625.59,23.010783851694136,-3,-2,565.24,-2.1578571428571536,3.1567345534962974
7.7745129917397815,625.8,23.37274216968587,-3,-3,564.79,-2.214999999999975,3.1304320180947935
8.004509115340795,626.03,24.293919307228354,-3,-3,564.32,-2.212699999999984,3.1331827658534426
8.174506250176387,626.2,24.74164979733319,-2,-4,563.84,-2.197333333333347,3.173912189647851
8.374502879394576,626.4,25.130082489286966,-1,-4,563.38,-2.1875595238096253,3.2356973130501143
8.584499340073783,626.61,25.563172050943177,0,-3,562.92,-2.136992481202981,3.32063476768902
8.77449613783107,626.8,25.789510504094807,1,-3,562.47,-2.0909615384614995,3.42621622716244
9.034491755814795,627.06,26.84457817793046,2,-3,562.08,-1.9726470588236111,3.55957016205121
9.18448922772858,627.21,26.940623487171766,3,-2,561.7,-1.9100789473684472,3.7036328280103743
9.36448619402496,627.39,27.036327602026162,5,-2,561.31,-1.8215000000000146,3.8525475759251764
9.574482654704168,627.6,27.179251915641046,6,-1,560.94,-1.7209523809523262,4.016092036279705
9.764479452461455,627.79,26.84457817793046,6,0,560.62,-1.6168421052631743,4.172745609402831
10.02447507044518,628.05,26.08824066548774,7,1,560.31,-1.5425000000000182,4.323075589985987
