report_t_s,t,IAS_kmh,Glide_ratio_GNSS,pitch,roll,vario
0.18011195388539672,383.16,56.28442823947754,9.023758517882156,8,-5,-1.48
0.36992263882848325,383.35,55.031443933705496,10.558278851965552,8,-5,-1.32
0.5597333237715698,383.54,53.701182149797354,12.37873935243707,8,-5,-1.26
0.789504152913165,383.77,52.36178964957292,14.493492668060986,8,-4,-1.23
0.9693248018066243,383.95,51.77894044367254,16.76147156913977,8,-4,-1.22
1.169125522799338,384.15,50.84772434857406,19.125978707291083,9,-4,-1.18
1.3589362077424245,384.34,50.24731564563261,21.313837274545143,9,-4,-1.13
1.5887070368840766,384.57,49.976716517569976,23.017861563619878,8,-4,-1.16
1.8084878299761014,384.79,48.85291335076285,23.822959370616204,8,-3,-1.18
1.9583383707206223,384.94,48.42809734281224,23.48050543223922,8,-3,-1.17
2.178119163812647,385.16,47.63491179196799,22.212679023569134,8,-3,-1.33
2.367929848755734,385.35,47.48556440151694,20.309405094473274,8,-3,-1.46
2.5677305697484476,385.55,47.66201558465437,18.17391886717087,7,-2,-1.48
2.8174814709893536,385.8,46.85586344072116,16.089055377381964,5,-1,-1.52
2.9673320117338746,385.95,46.56556026787634,14.131856864785362,4,-1,-1.51
3.1571426966769613,386.14,46.46838951900309,12.398635960978059,3,-1,-1.48
3.366933453719359,386.35,46.731668620335135,10.879344696512371,2,-2,-1.57
3.5567441386624457,386.54,46.231553133136686,9.594335455317356,1,-1,-1.86
3.796505003853668,386.78,45.071690343364786,8.536391448390072,0,-1,-2.01
3.9863156887968114,386.97,44.9425653882093,7.690240471155632,0,-2,-2.05
4.186116409789525,387.17,44.76981946237752,7.01342743207526,-3,-1,-2.07
4.375927094732612,387.36,45.76831349752974,6.48848909703841,-5,0,-2.23
4.565737779675698,387.55,46.49617331193031,6.074477214715642,-5,1,-2.61
4.795508608817293,387.78,47.02094626605362,5.775294305757781,-4,0,-3.08
4.975329257710753,387.96,46.0636413684638,5.59104988100383,-6,0,-3.34
5.165139942653839,388.15,45.66944648051621,5.5321621816997615,-5,0,-3.27
5.374930699696237,388.36,46.13367887488068,5.617469144973671,-4,1,-3.08
5.564741384639324,388.55,47.30845509493401,5.8702530661941745,-4,0,-2.89
5.794512213780918,388.78,47.25382637567943,6.363256765107605,-3,2,-2.39
5.974332862674378,388.96,46.99347273390036,7.164421779770045,-2,2,-2.0
6.164143547617464,389.15,46.77310353489187,8.477515345847777,-1,3,-2.12
6.3639442686102345,389.35,47.1854515368317,10.838280048729548,-4,4,-2.07
6.573735025652575,389.56,34.58159162895537,15.89223684188445,2,4,-1.22
6.783525782694917,389.77,27.580182270638325,31.9936550342302,6,8,-0.21
6.963346431588376,389.95,31.94133254092252,,11,5,0.49
