report_t_s,t,IAS_kmh,pitch,roll,GNSS_vz_ms
0.03080932709469206,650.95,31.328981822600237,6,-5,-0.5672619047618923
0.2505901201866033,651.17,29.937754302102572,5,-4,-0.6272727272727252
0.46038087722900095,651.38,29.612452134677596,3,-4,-0.7511428571428382
0.6501915621721442,651.57,29.239401533561118,3,-2,-0.8678571428571615
0.8899524273633098,651.81,31.616221456456078,8,-2,-1.027266666666577
1.0398029681079446,651.96,32.122761575314314,9,-3,-1.1631818181818119
1.2595837611998557,652.18,32.52231376850582,8,-2,-1.3329573934836958
1.449394446142999,652.37,32.16294015459027,7,-3,-1.4699134199133823
1.6591852031853966,652.58,30.976610251172758,5,-4,-1.5482249999999738
1.908936104426303,652.83,29.239401533561118,6,-4,-1.6289999999999338
2.03880657307157,652.96,28.771897162448816,5,-3,-1.702666666666687
2.2386072940642268,653.16,27.439346376906226,4,-1,-1.829999999999984
2.42841797900737,653.35,20.861927655665095,2,-2,-1.9142105263157703
2.648198772099395,653.57,24.21404867140612,4,-3,-1.9721428571428419
2.897949673340301,653.82,26.892643710023858,2,-5,-2.0547000000001105
3.0478002140848224,653.97,26.91664428928536,1,-6,-2.0885952380952233
3.237610899027852,654.16,26.675666795407228,0,-5,-2.1569047619047694
3.4274215839709954,654.35,26.162390243731668,0,-5,-2.2142857142857792
3.64720237706302,654.57,26.236330259969744,-2,-5,-2.405000000000001
3.8769732062045583,654.8,26.359102714591163,-4,-4,-2.560200000000094
4.03681378299882,654.96,26.940623487171766,-5,-4,-2.707333333333338
4.246604540041105,655.17,26.724036131221965,-6,-2,-2.8474937343358135
4.456395297083502,655.38,27.72030264213269,-4,1,-2.97515550239234
4.646205982026645,655.57,28.090540113667288,-5,1,-3.1550000000001432
4.875976811168184,655.8,28.569196341371534,-5,1,-3.276764705882357
5.035817387962446,655.96,28.839147500774505,-4,1,-3.3649999999999807
5.225628072905475,656.15,29.612452134677596,-4,1,-3.5011904761904873
5.4354188299478725,656.36,30.259559545332962,-3,1,-3.610097402597347
5.625229514890902,656.55,31.184369858462553,-4,1,-3.6243540669856316
5.864990380082181,656.79,32.936627462013,-4,2,-3.677608695652168
6.034820992926071,656.96,33.67338242103797,-3,3,-3.688529411764705
6.224631677869101,657.15,34.24383603106475,-5,3,-3.7115000000000293
6.424432398861871,657.35,34.65620140636257,-3,5,-3.7813784461152977
6.644213191953896,657.57,34.897581563477885,-1,7,-3.7649999999998442
6.873984021095434,657.8,35.08212849580137,0,6,-3.8387616099070954
7.0438146339393235,657.97,35.22906999125835,0,6,-3.814736842105276
7.24361535493198,658.17,35.247394606277105,-2,5,-3.8167499999999848
7.4334260398751235,658.36,31.018273498315896,-2,6,-3.8270454545454697
7.643216796917521,658.57,26.310062481018587,-2,6,-3.8149999999999977
7.853007553959805,658.78,27.179251915641046,-1,6,-3.7830434782608506
8.042818238902948,658.97,29.786388738509952,0,6,-3.770952380952366
8.232628923845978,659.16,32.52231376850582,1,5,-3.708297619047613
8.432429644838749,659.36,35.7205351675064,1,4,-3.6500000000000057
8.642220401881147,659.57,37.2947187403038,2,2,-3.5500000000000114
8.871991231022685,659.8,38.15060615507963,3,1,-3.36331983805664
9.031831807816946,659.96,38.454062509303064,3,0,-3.2999298245613886
9.241622564859231,660.17,38.72180508157529,5,0,-3.140750000000054
9.431433249802375,660.36,39.16947087949481,6,0,-2.9950000000000045
9.641224006844771,660.57,39.432356184809876,7,-1,-2.876250000000084
9.900964944135305,660.83,39.05390211500207,5,-1,-2.670138888888772
10.050815484879827,660.98,38.62161913081473,5,-1,-2.4694110275689525
10.240626169822855,661.17,38.11673965381529,0,-2,-2.2845238095238187
10.430436854765999,661.36,38.50440605585659,5,0,-2.0354761904761745
10.620247539709029,661.55,37.99796919922571,4,-1,-1.8721428571429897
10.860008404900308,661.79,36.82426897732371,5,0,-1.6939458689459173
11.039829053793824,661.97,35.68436246438761,7,0,-1.5226666666666517
11.229639738736854,662.16,34.11158348055716,8,-1,-1.3828195488721349
11.439430495779252,662.37,32.700519561496826,9,-2,-1.2590852130325914
11.629241180722282,662.56,31.65704293434462,9,-2,-1.150684523809474
11.898972154062555,662.83,31.059880859069498,8,-3,-1.1224444444444828
12.028842622707822,662.96,30.746453254889452,8,-4,-1.1672222222222217
12.218653307650852,663.15,30.002391486312543,7,-4,-1.2363157894737071
12.42844406469325,663.36,29.371607489727428,6,-5,-1.3604761904761915
12.638234821735647,663.57,28.90624138168652,6,-5,-1.4870601851852996
12.877995686926813,663.81,28.478643985718595,4,-5,-1.6649629629629317
13.027846227671448,663.96,28.2281272557594,2,-5,-1.8349999999999795
13.217656912614478,664.15,27.533317016268985,-1,-5,-2.023863636363643
13.417457633607247,664.35,27.32142857142857,-3,-4,-2.186850649350646
13.627248390649532,664.56,27.297783886279866,-5,-3,-2.3811904761905396
13.867009255840811,664.8,27.509854449573787,-7,-2,-2.546666666666681
14.016859796585445,664.95,27.580182270638325,-9,-2,-2.7206666666666592
14.206670481528475,665.14,27.65033121549416,-9,-1,-2.879999999999967
14.4264512746205,665.36,28.02149320847576,-10,0,-3.009047619047635
14.626251995613156,665.56,28.410540315530927,-9,0,-3.1841999999999757
14.866012860804437,665.8,28.771897162448816,-9,1,-3.280000000000001
15.01586340154907,665.95,29.63425004129856,-8,1,-3.3600000000000136
15.2056740864921,666.14,31.184369858462553,-8,2,-3.396190476190469
15.425454879584125,666.36,32.85811333970497,-8,3,-3.4650000000000034
15.615265564527155,666.55,33.3651527550429,-8,4,-3.5255000000000223
15.865016465768061,666.8,33.171054815170116,-6,6,-3.5023076923076815
16.014867006512695,666.95,33.3651527550429,-5,5,-3.493000000000052
16.22465776355498,667.16,34.65620140636257,-3,4,-3.4725108225108556
16.42445848454775,667.36,35.738607789541746,-3,3,-3.4499999999999886
16.61426916949078,667.55,36.008608664584415,-2,2,-3.378750000000025
16.874010106781313,667.81,36.0623662590807,-2,1,-3.3830588235293817
17.02386064752595,667.96,33.883663889423595,-2,2,-3.308095238095234
17.21367133246898,668.15,29.69954777021195,-2,2,-3.27665476190478
17.423462089511375,668.36,26.285508054315198,0,1,-3.2588095238095605
17.623262810504034,668.56,27.72030264213269,0,0,-3.192307692307679
17.853033639645684,668.79,28.883894071518366,-1,-1,-3.167184615384599
18.022864252489573,668.96,27.368656659524575,-1,-2,-3.119999999999976
18.22266497348223,669.16,25.63884021462399,-1,-2,-3.0497619047619082
18.43245573052463,669.37,24.50563502460574,0,-2,-3.0224342105263418
18.622266415467656,669.56,25.334811595341073,0,-2,-2.970576923076891
18.872017316708565,669.81,29.67779782385259,-1,-3,-2.8679411764706515
19.0218678574532,669.96,33.19051568795901,-1,-4,-2.872619047619054
19.221668578445858,670.16,36.11604383717823,-1,-4,-2.819999999999993
19.421469299438627,670.36,37.58790716847803,-2,-4,-2.7711904761904407
19.611279984381657,670.55,38.50440605585659,-2,-4,-2.674999999999983
19.87102092167219,670.81,39.74227398925147,-2,-4,-2.5006666666666604
20.0108814263672,670.95,40.06591348602185,-2,-5,-2.313999999999993
20.22067218340948,671.16,39.82343044295529,-3,-5,-2.094999999999999
20.410482868352624,671.35,36.080267658177284,-2,-5,-1.8689999999999714
20.610283589345283,671.55,24.080342245347367,-1,-4,-1.6188095238095173
20.860034490586187,671.8,17.008401285415225,2,-7,-1.3699769230769334
21.00988503133082,671.95,12.552186979135694,4,-7,-1.1099999999999852
21.219675788373106,672.16,6.428571428571428,4,-6,-0.8700000000000045
21.40948647331625,672.35,0.0,5,-7,-0.6429999999999723
21.619277230358534,672.56,4.252100321353806,6,-7,-0.4826086956522033
21.86902813159944,672.81,5.330289841642607,7,-6,-0.4275686274509951
22.008888636294447,672.95,5.794635978424268,7,-6,-0.4099999999999966
22.218679393336732,673.16,5.0822319538420375,8,-6,-0.4350000000000023
22.4184801143295,673.36,8.035714285714285,12,-6,-0.5055595238095236
22.60829079927253,673.55,2.783653083592838,7,-4,-0.6111904761905009
22.838061628414184,673.78,4.685586344072116,6,6,-0.7301999999999964
23.007892241258073,673.95,4.953546966671499,7,9,-0.8900000000000148
23.217682998300358,674.16,7.096950696156305,7,10,-1.0250000000000057
23.4074936832435,674.35,7.95495128834866,6,11,-1.2020000000000266
23.607294404236157,674.55,8.504200642707612,4,13,-1.3790476190476113
23.857045305477065,674.8,6.528245146582468,0,14,-1.5563764705882477
24.0068958462217,674.95,6.7231609275059645,-2,12,-1.719333333333367
24.216686603263984,675.16,6.428571428571428,-3,6,-1.8685714285714425
24.406497288207127,675.35,1.968339971879339,-5,4,-2.0
24.61628804524941,675.56,18.811124856513683,-6,2,-2.0741999999999905
24.866038946490317,675.81,25.052877752335547,-7,-1,-2.1036666666666974
25.01588948723495,675.96,23.03882869312197,-7,-1,-2.137380952380937
25.225680244277235,676.17,15.705659158145407,-6,-1,-2.14131578947368
25.40550089317075,676.35,9.091372900969896,-4,-2,-2.0749999999999886
25.615291650213035,676.56,3.4092648378637107,-3,-1,-1.9908333333333417
25.865042551453943,676.81,5.0822319538420375,-2,-1,-1.8962499999999807
26.014893092198577,676.96,4.252100321353806,-1,-1,-1.7823809523809189
26.214693813191232,677.16,5.682108063106185,1,-2,-1.7014285714285506
26.404504498134376,677.35,5.450086593582804,3,-1,-1.6000000000000227
26.604305219127035,677.55,6.428571428571428,5,0,-1.5380952380952522
26.844066084318314,677.79,6.119817674354926,6,1,-1.5093999999999994
27.003906661112573,677.95,5.682108063106185,7,1,-1.4495098039215861
27.213697418154858,678.16,6.91258280387354,7,1,-1.424999999999983
27.403508103098,678.35,7.452014862451904,7,1,-1.4250000000000114
27.613298860140286,678.56,8.504200642707612,7,2,-1.419166666666655
27.843069689281936,678.79,6.7231609275059645,5,1,-1.4276000000000124
28.012900302125825,678.96,5.450086593582804,5,1,-1.4395238095238199
28.212701023118484,679.16,6.428571428571428,3,1,-1.4300000000000068
28.402511708061628,679.35,6.119817674354926,2,1,-1.4199999999999875
28.612302465103912,679.56,6.013377943029548,0,1,-1.3850000000000193
