report_t_s,t,IAS_kmh,pitch,roll
0.005340248308177302,542.59,38.26890289218425,-6,2
0.16524965787679743,542.75,38.47085101152586,-5,2
0.3751307579356895,542.96,38.83836205798256,-5,1
0.5750175198964362,543.16,39.28469966222244,-5,0
0.7749042818572967,543.36,39.839641895058875,-5,0
0.9947797200142204,543.58,40.70547367043766,-4,-1
1.1546891295828405,543.74,40.76887787346157,-3,-2
1.3745645677397642,543.96,40.895391374998304,-2,-2
1.574451329700511,544.16,41.14725143943891,-1,-2
1.7643437535633397,544.35,41.14725143943891,1,-2
2.0142022060143585,544.6,41.021514701036416,3,-2
2.1841059536810103,544.77,41.11585330328367,5,-2
2.3839927156418708,544.97,41.14725143943891,5,-2
2.6038681537987944,545.19,40.626079263528865,7,-2
2.7737719014654463,545.36,40.082026864306904,8,-3
2.9836530015243383,545.57,39.5631437949359,8,-3
3.183539763485085,545.77,39.15298194132803,9,-3
3.373432187347914,545.96,38.70512543183238,8,-3
3.5733189493086606,546.16,37.46746037209746,8,-2
3.773205711269521,546.36,31.900874852055868,8,-3
3.9930811494264447,546.58,34.63756402861977,4,-4
4.172979235191128,546.76,28.883894071518366,7,-4
4.3728659971519885,546.96,27.012433361740086,7,-6
4.572752759112735,547.16,31.142928817086585,3,-10
4.772639521073596,547.36,27.743587234765823,-7,-15
4.99251495923052,547.58,24.58455836910807,-2,-17
5.172413044995203,547.76,20.297139011220676,-4,-10
5.372299806956063,547.96,20.737748411620615,-7,3
5.562192230818778,548.15,17.93243057498148,-6,7
5.762078992779639,548.35,11.864589959116124,-11,12
6.021931783328689,548.61,10.900173187165608,-12,15
6.171846854799278,548.76,13.301473947787645,-11,16
6.371733616760138,548.96,16.310718586755353,-11,16
6.581614716818916,549.17,20.644123787140387,-12,14
6.761512802583714,549.35,23.010783851694136,-11,12
7.0013769169367,549.59,28.523956097087428,-7,10
7.161286326505321,549.75,31.81980515339464,-4,9
7.361173088466181,549.95,34.87907316569578,0,8
7.5810485266229914,550.17,36.70131615000826,0,8
7.780935288583851,550.37,37.519127774770986,-1,7
8.040788079132902,550.63,38.82173248665374,-3,6
8.18070881250546,550.77,37.034095570080794,-4,5
8.350612560172225,550.94,31.452405735183625,-5,4
8.570487998329034,551.16,24.923671745256677,-5,2
8.770374760289895,551.36,24.107142857142858,-5,0
9.010238874642882,551.6,28.2509933002183,-3,-3
9.170148284211502,551.76,28.38780278462522,-2,-4
